Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Shohei Ohtani","LAD",158,727,55,146,102,20,0.149931224,0.257221458,0.340425532,0.315363881,0.281505728,0.391724137,0.62193126,0.4178216946885941,0.42509599165482953,172.3156045629402,3.6806300412863493,65.99104420359362,-17.067899703979492,7.479858285745777,"Shohei Ohtani",19755,660271
"Trea Turner","PHI",141,639,15,94,69,36,0.067292644,0.167449139,0.152801358,0.34968017,0.303904923,0.355242566,0.456706281,0.35156535943473766,0.32088068660150126,124.8082278067238,7.952847251668572,26.741290840507002,17.27917194366455,6.678736862635801,"Trea Turner",16252,607208
"Francisco Lindor","NYM",160,732,31,117,86,31,0.088797814,0.178961748,0.198757764,0.288343558,0.267080745,0.345628415,0.465838509,0.3501807249572179,0.34546049556181224,128.77125428201668,2.748796196654439,27.70991700385784,9.263537406921387,6.2742733806595385,"Francisco Lindor",12916,596019
"Kyle Schwarber","PHI",162,724,56,111,132,10,0.14917127,0.272099447,0.322847682,0.252840909,0.240066225,0.364640883,0.562913907,0.39137705031543724,0.40230382602750175,152.08051640783808,-1.0841558407992125,43.60560739835948,-19.5513813495636,4.925245935082726,"Kyle Schwarber",16478,656941
"Matt Olson","ATL",162,724,29,98,95,1,0.125690607,0.243093922,0.211538461,0.332547169,0.272435897,0.366022099,0.483974358,0.3663292339799147,0.3601102577664485,136.0615266903134,-4.788665594533086,26.155364937202688,-4.243880271911621,4.706016675556013,"Matt Olson",14344,621566
"Ketel Marte","ARI",126,556,28,87,72,4,0.115107913,0.149280575,0.233333333,0.29032258,0.283333333,0.37589928,0.516666666,0.38054607012055136,0.38983042918852645,145.2872078795435,-3.3944991026073694,26.44864273559249,0.012925863265991211,4.5997444528686335,"Ketel Marte",13613,606466
"Will Smith","LAD",110,436,17,64,61,2,0.14678899,0.20412844,0.201657459,0.344827586,0.29558011,0.403669724,0.497237569,0.3892415171382071,0.37794396411413433,152.73726379964666,-2.8956009428948164,24.356393286929237,1.635118842124939,4.143221255833157,"Will Smith",19197,669257
"Freddie Freeman","LAD",147,627,24,81,90,6,0.095693779,0.20414673,0.206834533,0.342298288,0.294964028,0.366826156,0.501798561,0.3697290580118856,0.34992756635576533,139.37060177554082,-1.6928461231291294,27.564423876238344,-11.10448443889618,3.818107355882741,"Freddie Freeman",5361,518692
"Manny Machado","SDP",159,678,27,91,95,14,0.081120943,0.193215339,0.185365854,0.307359307,0.274796747,0.334808259,0.460162601,0.3411543614255922,0.35432209621389765,123.02550141793589,-0.743398318067193,17.7592117359675,-3.499285578727722,3.7666014430285597,"Manny Machado",11493,592518
"Matt Chapman","SFG",128,535,21,76,61,9,0.13271028,0.235514018,0.198237885,0.270096463,0.231277533,0.340186915,0.429515418,0.33623319853111155,0.33971685059508133,118.30905700722285,0.8738524448126554,12.483364442771455,5.8789753913879395,3.699616645893696,"Matt Chapman",16505,656305
"Pete Alonso","NYM",162,709,38,87,126,1,0.086036671,0.228490832,0.251602564,0.304849884,0.272435897,0.346967559,0.524038461,0.36833570584316144,0.38566869353162786,141.20800005483187,-5.40252890996635,29.225038102619934,-17.777616024017334,3.5843583000288937,"Pete Alonso",19251,624413
"Bryce Harper","PHI",132,580,27,72,75,12,0.120689655,0.208620689,0.225548903,0.292134831,0.261477045,0.356896551,0.487025948,0.3609641829849536,0.36761485242677483,131.2467242056975,1.3539299331605434,22.833554860214903,-8.227693319320679,3.4684433564587938,"Bryce Harper",11579,547180
"Mookie Betts","LAD",150,663,20,95,82,8,0.092006033,0.102564102,0.147707979,0.258317025,0.258064516,0.325791855,0.405772495,0.31784157628551374,0.329853998550669,103.82600808653768,-0.3313109092414379,2.6751365449942788,8.649662733078003,3.415247413555684,"Mookie Betts",13611,605141
"Dansby Swanson","CHC",159,645,24,84,77,20,0.072868217,0.260465116,0.172881356,0.297766749,0.244067796,0.29968944,0.416949152,0.3095082416319365,0.345243317315883,99.40050492924945,4.745169470086694,4.2868803607107475,6.965635776519775,3.3465873630117406,"Dansby Swanson",18314,621020
