Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Joey Votto","CIN",162,707,36,106,100,5,0.189533239,0.117397454,0.257602862,0.320627802,0.320214669,0.454031117,0.577817531,0.42821576085153107,0.41560624394103557,163.10797553052072,-7.4297665217891335,49.915906355155286,-11.76658844947815,6.213522970325954,"Joey Votto",4314,458015
"Justin Turner","LAD",130,543,21,72,71,7,0.108655616,0.103130755,0.207877462,0.325581395,0.321663019,0.415129151,0.529540481,0.39956292659876735,0.40020458293410965,150.73835433872154,-0.9257540837861598,34.48483872972522,3.4777191877365112,5.634353447662371,"Justin Turner",5235,457759
"Charlie Blackmon","COL",159,725,37,137,104,14,0.089655172,0.186206896,0.270186336,0.370526315,0.330745341,0.398891966,0.600931677,0.414420904484571,0.37256677194441995,142.20153686445715,0.6381954276002944,39.96270040415312,-9.978147268295288,5.4624398524468605,"Charlie Blackmon",7859,453568
"Buster Posey","SFG",140,568,12,62,67,6,0.107394366,0.116197183,0.141700405,0.346793349,0.319838056,0.399647887,0.461538461,0.3655566185444325,0.3448433157752949,128.29811277961264,-1.9795933924615383,18.679097595382792,11.494220495223999,4.944572289091309,"Buster Posey",9166,457763
"Tyler Flowers","ATL",99,370,12,41,49,0,0.083783783,0.221621621,0.164037855,0.342222222,0.280757097,0.378378378,0.444794952,0.35824476735701727,0.3459978441451486,117.38568483865832,-1.2679540016688406,6.999856564408555,23.531079292297363,4.3033645649349594,"Tyler Flowers",9134,452095
"Zack Cozart","CIN",122,507,24,80,63,3,0.122287968,0.153846153,0.251141553,0.311764705,0.296803652,0.384615384,0.547945205,0.3921849477220569,0.33024205143743823,139.45099745425836,-0.2449448872357607,25.46273824047377,-0.9181623458862305,4.175854174774204,"Zack Cozart",2616,446359
"Daniel Murphy","WSN",144,593,23,94,93,2,0.087689713,0.129848229,0.220973783,0.340961098,0.322097378,0.384485666,0.543071161,0.38462538422698184,0.3588617810756743,134.6721335620629,-1.7112566432915628,24.714793275078737,-8.431940078735352,3.647557595049393,"Daniel Murphy",4316,502517
"Andrew McCutchen","PIT",156,650,28,94,88,11,0.112307692,0.178461538,0.207017544,0.305361305,0.278947368,0.363076923,0.485964912,0.36017110976137856,0.35947346463098795,122.36359320916162,-0.013860259670764208,18.66936849462973,-4.497446417808533,3.632300434758897,"Andrew McCutchen",9847,457705
"Ryan Zimmerman","WSN",144,576,36,90,108,1,0.076388888,0.21875,0.269083969,0.335149863,0.303435114,0.357638888,0.572519083,0.3874856169327446,0.37904153743260344,136.55009457754403,1.4186147786676884,28.47738029716446,-13.029299259185791,3.506366544276258,"Ryan Zimmerman",4220,475582
"Matt Carpenter","STL",145,622,23,91,69,2,0.175241157,0.20096463,0.209255533,0.274011299,0.241448692,0.383870967,0.450704225,0.3607363197710607,0.3806775243658769,124.34701332824882,-2.647845002822578,16.816198603853792,-11.129802227020264,2.6920567040486514,"Matt Carpenter",8090,572761
