Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Jim Edmonds","STL",142,567,29,88,89,5,0.160493827,0.245149911,0.269807281,0.310231023,0.263383297,0.38515901,0.533190578,0.38867457489744367,,138.8734265962975,4.000673205475323,31.679760681243256,10.853217720985413,6.11738203236912,"Jim Edmonds",1153,113744
"Brian Giles","SDP",158,674,15,92,83,13,0.176557863,0.094955489,0.181651376,0.314345991,0.300917431,0.422848664,0.482568807,0.3923598730474486,,147.05323475417012,3.2941300763050094,43.11999960455765,-6.264557853341103,5.897466211117463,"Brian Giles",990,114789
"Geoff Jenkins","MIL",148,618,25,87,86,0,0.090614886,0.22330097,0.221189591,0.347368421,0.291821561,0.37540453,0.513011152,0.3789297862984668,,129.59432043936422,-2.5231640654383227,20.444283418380333,7.823429584503174,4.853325562893359,"Geoff Jenkins",690,132961
"Chipper Jones Jr.","ATL",109,432,21,66,72,5,0.166666666,0.129629629,0.259776536,0.300353356,0.296089385,0.412037037,0.555865921,0.412091143656112,,153.50385638010368,-0.09491560817696154,28.930919079367495,5.371030926704407,4.850994447279502,"Chipper Jones Jr.",97,116706
"Todd Helton","COL",144,626,20,92,79,3,0.169329073,0.127795527,0.214145383,0.348780487,0.320235756,0.4448,0.534381139,0.41612858608192077,,145.16278909454797,-4.572115850751288,30.93136813289761,-10.764281496405602,4.067063571688795,"Todd Helton",432,115732
"Bobby Abreu","PHI",162,719,24,104,102,31,0.162726008,0.186369958,0.18877551,0.328767123,0.285714285,0.404728789,0.474489795,0.3789026156406511,,128.01335070244275,4.1185141580644995,29.412066834874274,-14.509582042694092,3.8428349269603754,"Bobby Abreu",945,110029
"Cliff Floyd","NYM",150,626,34,85,98,12,0.100638977,0.15654952,0.232727273,0.276190476,0.272727272,0.357827476,0.505454545,0.3660098251082963,,124.09741596336093,3.7411874582758173,22.684707972729402,-6.13724946975708,3.704060571345008,"Cliff Floyd",518,114260
"Randy Winn","SFG",58,247,14,39,26,7,0.044534412,0.153846153,0.32034632,0.38547486,0.359307359,0.390946502,0.679653679,0.44966970125505745,,176.9692138136606,1.2273725270060822,25.101630858134314,3.074671983718872,3.632446549798845,"Randy Winn",1235,133160
"Carlos Delgado","FLA",144,616,33,81,115,0,0.116883116,0.196428571,0.280230326,0.332439678,0.30134357,0.399350649,0.581573896,0.40745610668755217,,152.18677495709946,-2.3145254069240764,38.055317208306754,-25.573047637939453,3.263712755027021,"Carlos Delgado",1297,113232
"Tony Clark","ARI",130,393,30,47,87,0,0.094147582,0.223918575,0.332378223,0.320675105,0.303724928,0.366412213,0.636103151,0.4134663263340637,,148.3148211919491,-2.020940646994859,21.823591851850633,-3.611098527908325,3.110048383076146,"Tony Clark",182,112316
