Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Joey Votto","CIN",158,695,29,95,80,11,0.205755395,0.194244604,0.227522936,0.37075718,0.313761467,0.458992805,0.541284403,0.42690223323948245,0.42264058522223,173.84017590098324,-1.146891050040722,58.650514906960765,-11.777683526277542,7.253960932598808,"Joey Votto",4314,458015
"Curtis Granderson","NYM",157,682,26,98,70,11,0.133431085,0.221407624,0.198275862,0.304668304,0.258620689,0.363636363,0.456896551,0.3567089036392358,0.3621546804728069,131.08150858739103,2.4866052977740765,27.186282737678482,1.9807610511779785,5.332004442198953,"Curtis Granderson",4747,434158
"Justin Turner","LAD",126,439,16,55,60,5,0.082004555,0.161731207,0.197402597,0.321192052,0.293506493,0.369863013,0.49090909,0.3714754787407969,0.37029976192040676,140.79050061731152,-0.015575130470097065,20.849904535285976,2.6329078674316406,3.9319163227012934,"Justin Turner",5235,457759
"Martín Prado","MIA",129,551,9,52,63,1,0.067150635,0.123411978,0.106,0.313225058,0.288,0.338181818,0.394,0.3176590921459617,0.312482339364511,102.42737263652062,-0.09215455269441009,1.4662954284005907,13.556130290031433,3.4011387634910273,"Martin Prado",3312,445988
"Ryan Braun","MIL",140,568,25,87,84,24,0.095070422,0.202464788,0.213438735,0.322493224,0.28458498,0.356261022,0.498023715,0.36579427075428395,0.37355218931686046,130.59072961792347,1.7512013535015285,21.99737644902122,-9.815481901168823,3.155378210408967,"Ryan Braun",3410,460075
"Chris Coghlan","CHC",148,503,16,64,41,11,0.115308151,0.186878727,0.193181818,0.283987915,0.25,0.34063745,0.443181818,0.33745693235147384,0.3250577337658966,112.7174437379602,3.384424935095012,10.838137262345771,3.237809658050537,3.1432944567587366,"Chris Coghlan",6878,458085
"Miguel Montero","CHC",113,403,15,36,53,1,0.121588089,0.255583126,0.161383286,0.306034482,0.247838616,0.344913151,0.409221902,0.32849606946485127,0.33264457606062103,106.57249984746697,-2.7038651946932077,0.3824512162767588,16.36501979827881,3.098974908212141,"Miguel Montero",3364,471083
"Adrián González","LAD",156,643,28,76,90,0,0.096423017,0.166407465,0.204903677,0.293849658,0.274956217,0.350467289,0.479859894,0.354222905409487,0.36841967793094554,128.95948652537757,-5.794060993008316,15.903286647835404,-7.897171974182129,2.9580624069323553,"Adrian Gonzalez",1908,408236
"Andre Ethier","LAD",142,445,14,54,53,2,0.096629213,0.168539325,0.192405063,0.330097087,0.293670886,0.366292134,0.486075949,0.3663512707832974,0.3646298161259404,137.2765566165545,-1.911598864942789,17.41701082618137,-4.567942678928375,2.8228997588212215,"Andre Ethier",6265,444843
"Brandon Phillips","CIN",148,623,12,69,70,23,0.043338683,0.109149277,0.100340136,0.315068493,0.294217687,0.327974276,0.394557823,0.31543767413847307,0.31555340809750676,97.40295438330962,3.7903627203777432,1.9050975595429787,2.4762198626995087,2.5077420890745405,"Brandon Phillips",791,408252
