Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Russell Martin","PIT",111,460,11,45,67,4,0.128260869,0.169565217,0.139841688,0.33559322,0.290237467,0.401746724,0.430079155,0.3700433577396485,,140.16479336500268,-4.266262999735773,16.473106162390295,25.596678733825684,6.142666395245044,"Russell Martin",4616,431145
"Jayson Werth","WSN",147,629,16,85,82,9,0.131955484,0.179650238,0.162921348,0.343137254,0.292134831,0.394276629,0.455056179,0.3767470129953025,,140.93899027181388,6.20279402541928,35.10825806705775,-6.156609296798706,5.265171679008015,"Jayson Werth",1327,150029
"René Rivera","SDP",103,329,11,27,44,0,0.082066869,0.231003039,0.180272109,0.301435406,0.25170068,0.319018404,0.431972789,0.3286364552775404,,113.0561967588166,-1.8676978007424623,2.9540529608693795,31.960747718811035,4.9226712057363455,"Rene Rivera",3648,425784
"Jhonny Peralta","STL",157,628,21,61,75,3,0.092356687,0.178343949,0.180357142,0.292343387,0.2625,0.335987261,0.442857142,0.34341067113815404,,120.16530762960225,-3.619681086856872,10.595639843248453,12.500265121459961,4.619543032105093,"Jhonny Peralta",1738,425509
"Denard Span","WSN",147,668,5,94,37,31,0.074850299,0.097305389,0.114754098,0.329650092,0.301639344,0.354887218,0.416393442,0.34138937895915594,,116.78052785960368,6.070589602692053,18.653301537679802,-0.09022760391235352,4.2552228997146955,"Denard Span",8347,452655
"Hunter Pence","SFG",162,708,20,106,74,13,0.073446327,0.183615819,0.167692308,0.318091451,0.276923076,0.331920903,0.444615384,0.3405257214045694,,121.80067353050377,6.085354786599055,23.4112363958599,-7.883754134178162,4.055132433300876,"Hunter Pence",8252,452254
"Jimmy Rollins","PHI",138,609,17,78,55,28,0.105090311,0.164203612,0.150557621,0.268867924,0.243494423,0.323432343,0.394052044,0.31949741980492674,,103.33880563297144,5.368303247494623,7.650749732063294,8.304494857788086,3.7731787344038947,"Jimmy Rollins",971,276519
"Hanley Ramirez","LAD",128,512,13,64,71,14,0.109375,0.1640625,0.16481069,0.322946175,0.282850779,0.369140625,0.447661469,0.3620432927327998,,136.44031466355747,0.4906092674937099,21.433867753129043,-2.795295238494873,3.7452781543388487,"Hanley Ramirez",8001,434670
"Chase Utley","PHI",155,664,11,74,78,10,0.079819277,0.128012048,0.137521222,0.294820717,0.269949066,0.338855421,0.407470288,0.3245777401821745,,106.80998610704542,6.619676060974598,11.695499171115289,2.0363080501556396,3.7120015356109333,"Chase Utley",1679,400284
"Adrián González","LAD",159,660,27,83,116,1,0.084848484,0.169696969,0.20642978,0.293736501,0.275803722,0.334848484,0.482233502,0.3514328616372268,,129.19062989851648,-2.3199977539479733,19.30617040615727,-5.830162525177002,3.6706554887567826,"Adrian Gonzalez",1908,408236
"Juan Uribe","LAD",103,404,9,36,54,0,0.037128712,0.190594059,0.129533678,0.367549668,0.310880829,0.336633663,0.440414507,0.34043869035160956,,121.67875075282886,-1.8616412063129246,7.9695873061224365,10.45669436454773,3.363220442788091,"Juan Uribe",454,346874
"Miguel Montero","ARI",136,560,13,40,72,0,0.1,0.173214285,0.126789366,0.275324675,0.243353783,0.328571428,0.370143149,0.3074271395558216,,89.3122814417073,-5.624788851244375,-12.343178828383085,25.780494689941406,3.3342152354332626,"Miguel Montero",3364,471083
"Yadier Molina","STL",110,445,7,40,38,1,0.062921348,0.123595505,0.103960396,0.307471264,0.282178217,0.333333333,0.386138613,0.31688862117854033,,102.04384773811009,-2.414426608942449,-1.3934854251748545,17.541661739349365,3.249539337672142,"Yadier Molina",7007,425877
"Matt Holliday","STL",156,667,20,83,90,4,0.110944527,0.149925037,0.168989547,0.298245614,0.271777003,0.370314842,0.44076655,0.3604187704678934,,131.78626416590748,-1.9783539618365467,21.82057955201643,-12.824085712432861,3.2025588642671226,"Matt Holliday",1873,407812
"Seth Smith","SDP",136,521,12,55,48,1,0.132437619,0.166986564,0.173814898,0.304597701,0.266365688,0.367307692,0.440180586,0.35658600551708525,,132.15301070880946,-2.5049159983173013,16.299140263134035,-7.669753551483154,2.677285062515384,"Seth Smith",7331,452234
"Carl Crawford","LAD",105,370,8,56,46,23,0.043243243,0.148648648,0.128279883,0.334507042,0.300291545,0.338753387,0.428571428,0.33833166415775373,,120.23910371497077,4.560593185015023,12.96651165603224,-2.013960599899292,2.4304928023069414,"Carl Crawford",1201,408307
"Justin Morneau","COL",135,550,17,62,82,0,0.061818181,0.109090909,0.177290837,0.330254041,0.318725099,0.363636363,0.496015936,0.372797232626122,,121.86860634217457,-2.9741202406585217,10.527191647985312,-5.906063079833984,2.333962866497709,"Justin Morneau",1737,408047
"Adam LaRoche","WSN",140,586,26,73,92,3,0.13993174,0.184300341,0.196356276,0.277173913,0.259109311,0.361774744,0.455465587,0.35642227762906553,,127.05190849249054,-5.3957218998111784,12.398856347352766,-11.77436649799347,2.015168918982255,"Adam LaRoche",1904,425560
"Grégor Blanco","SFG",146,444,5,51,38,16,0.092342342,0.173423423,0.114503817,0.310897435,0.259541984,0.333333333,0.374045801,0.31669455207458075,,105.51778514750347,-0.3226716509088874,2.4273741659636414,1.6697422862052917,1.9243568969464155,"Gregor Blanco",3123,453923
"Casey McGehee","MIA",160,691,4,56,76,4,0.096960926,0.147612156,0.069805195,0.334622823,0.287337662,0.35455861,0.357142857,0.31933662763168646,,103.65439340439411,-9.83836429938674,-7.003805180748148,3.2538541555404663,1.8841498603641744,"Casey McGehee",6086,431171
"Ángel Pagán","SFG",96,413,3,56,27,16,0.060532687,0.128329297,0.088772846,0.339393939,0.300261096,0.342233009,0.389033942,0.3241448915787857,,110.60830525092823,2.707807830069214,7.625804530825457,-3.3916364908218384,1.836409035855829,"Angel Pagan",2918,434636
"Carlos Ruiz","PHI",110,445,6,43,31,4,0.103370786,0.13483146,0.118110237,0.28125,0.251968503,0.346846846,0.37007874,0.3233805516772561,,105.99199490698848,-1.910339881433174,1.0827766112498693,2.0304527282714844,1.8197579369838799,"Carlos Ruiz",2579,434563
"David Wright","NYM",134,586,8,54,63,8,0.071672354,0.192832764,0.104672897,0.324582338,0.269158878,0.324232081,0.373831775,0.3084371933223048,,99.20596151572208,-4.5357835306786,-5.058097139112739,2.2273255586624146,1.6361671066646575,"David Wright",3787,431151
