Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Chipper Jones Jr.","ATL",134,600,29,108,102,5,0.136666666,0.125,0.267056531,0.347826086,0.337231968,0.425,0.604288499,0.4338016758530827,,162.536444781567,-1.081542547326535,47.63428358660025,3.0481622219085693,6.877375349135936,"Chipper Jones Jr.",97,116706
"Alfonso Soriano","CHC",135,617,33,97,70,19,0.050243111,0.21069692,0.260794474,0.334128878,0.298791018,0.337115072,0.559585492,0.3784582495300455,,122.16836342063847,2.2016911013051867,19.960115476051268,27.870234489440918,6.653893522377299,"Alfonso Soriano",847,150093
"Carlos Beltrán","NYM",144,636,33,93,112,23,0.108490566,0.174528301,0.249097473,0.285714285,0.276173285,0.352755905,0.525270758,0.3692433732032776,,122.3413322526277,7.666083087446168,26.11419041280076,5.075924873352051,5.091703352896033,"Carlos Beltran",589,136860
"Todd Helton","COL",154,682,17,86,91,0,0.170087976,0.108504398,0.174147217,0.340380549,0.31956912,0.434017595,0.493716337,0.40122917196056146,,133.0687830217064,-6.739641068736091,22.541515096151798,-2.249749183654785,4.1766624136173975,"Todd Helton",432,115732
"Edgar Renteria","ATL",124,543,12,87,57,11,0.084714548,0.141804788,0.137651822,0.375308641,0.331983805,0.390018484,0.469635627,0.3790030006780642,,127.11963717515731,3.091873349621892,22.21105670453738,0.8224844932556152,3.9963650420905408,"Edgar Renteria",1178,121074
"Eric Byrnes","ARI",160,699,21,103,83,50,0.081545064,0.140200286,0.174121405,0.309197651,0.285942492,0.352941176,0.460063897,0.3527501611351278,,103.97728169031029,10.08151677576825,13.691034346610781,0.11701107025146484,3.5988844452517705,"Eric Byrnes",905,291565
"Andruw Jones","ATL",154,659,26,83,94,5,0.106221547,0.209408194,0.19055944,0.242206235,0.222027972,0.311077389,0.412587412,0.3150507160725484,,85.78678099515125,-1.137143516447395,-13.29798132189968,25.489973545074463,3.3123667288692884,"Andruw Jones",96,116662
"Derrek Lee","CHC",150,650,22,91,82,6,0.109230769,0.175384615,0.195767196,0.364055299,0.317460317,0.4,0.513227513,0.39420228175285077,,132.34385321858176,-4.265314779710025,23.03016595984993,-11.015067940577865,3.266116162532447,"Derrek Lee",525,117601
"Lance Berkman","HOU",153,668,34,95,102,7,0.140718562,0.187125748,0.231729055,0.299754299,0.278074866,0.386227544,0.509803921,0.3838467479115026,,130.59753328080998,-3.402467360952869,23.13433023274021,-16.364784240722656,2.812353597426806,"Lance Berkman",548,204020
"Kazuo Matsui","COL",104,453,4,84,37,32,0.075055187,0.15231788,0.11707317,0.337278106,0.287804878,0.341573033,0.404878048,0.32942124785066723,,86.65876627051342,7.290350886294618,-0.556218660649554,12.95929729938507,2.6693420264802,"Kazuo Matsui",1854,430565
"Carlos Lee","HOU",162,697,32,93,119,10,0.076040172,0.090387374,0.224880382,0.289908256,0.303030303,0.354375896,0.527910685,0.37138673493955854,,122.54453052497169,-6.38465220364742,14.0167307263036,-10.379451274871826,2.6001960742829895,"Carlos Lee",243,150324
"Mark DeRosa","CHC",149,574,10,64,72,1,0.101045296,0.162020905,0.12749004,0.339950372,0.292828685,0.371278458,0.420318725,0.3511502031492223,,104.5189618304074,-1.3113531589042395,2.056368570220391,4.330298840999603,2.472184529566886,"Mark DeRosa",1392,136660
"Randy Winn","SFG",155,653,14,73,65,15,0.067381316,0.130168453,0.145025295,0.328657314,0.300168634,0.352850539,0.445193929,0.3482525535043179,,106.08044199451874,2.7556097090709955,7.910672560960794,-4.6927966475486755,2.417536011934051,"Randy Winn",1235,133160
"Scott Rolen","STL",112,441,8,55,58,5,0.083900226,0.126984126,0.132653061,0.286567164,0.265306122,0.331065759,0.397959183,0.3201463553791437,,90.74510090322944,0.6459733783267438,-4.653050923297454,14.189461827278137,2.35101663616739,"Scott Rolen",970,121409
"Ronnie Belliard","WSN",147,557,11,57,58,3,0.061041292,0.129263913,0.136986301,0.316397228,0.28962818,0.332123411,0.426614481,0.33116989807649094,,99.03830635727248,2.4644221148919314,1.7689534391336235,3.327383041381836,2.29153708548779,"Ronnie Belliard",677,150071
"Pedro Feliz","SFG",150,590,20,61,72,2,0.049152542,0.118644067,0.165170556,0.257446808,0.253141831,0.289830508,0.418312387,0.30563378273224345,,78.53560080930066,-5.350028003798798,-21.792093804800786,25.664306044578552,2.2784210004670706,"Pedro Feliz",1112,150268
"Alex Gonzalez","CIN",110,430,16,55,55,0,0.055813953,0.174418604,0.195928753,0.298360655,0.272264631,0.324766355,0.468193384,0.34225233139980593,,99.07847207230252,-0.8363283672370017,-1.350801370881305,9.44370698928833,2.1747543990578397,"Alex Gonzalez",520,136460
"Mike Cameron","SDP",151,651,21,88,78,18,0.102918586,0.245775729,0.189141857,0.297709923,0.24168126,0.328197226,0.430823117,0.33265175937134545,,104.84475513091668,5.84438624791801,9.939240546819523,-12.078413963317871,1.8884669970087387,"Mike Cameron",1070,111904
"Mike Lamb","HOU",124,353,11,45,40,0,0.101983002,0.127478753,0.163987138,0.307392996,0.289389067,0.366477272,0.453376205,0.3556464635673105,,112.37147139383184,2.5870293464977294,8.257011530390702,-1.1387336701154709,1.8316197138355808,"Mike Lamb",1258,150286
"Pat Burrell","PHI",155,598,30,77,97,0,0.190635451,0.200668896,0.245762712,0.275757575,0.256355932,0.399665551,0.502118644,0.39220161863307856,,132.33093729197316,-2.787223514635116,22.31459081053441,-26.506919860839844,1.5174273821700694,"Pat Burrell",949,150100
"Luis Castillo","NYM",50,231,1,37,20,10,0.103896103,0.073593073,0.075376884,0.318681318,0.296482412,0.370535714,0.371859296,0.33595049008727074,,100.8238843906794,4.201617592945695,4.44871255357752,2.1426305174827576,1.3871962230154544,"Luis Castillo",513,112116
"Geoff Jenkins","MIL",132,464,21,45,64,2,0.068965517,0.25,0.216666667,0.3006993,0.254761904,0.318965517,0.471428571,0.3332507330678108,,97.97595780648189,-2.5596860034856945,-3.7790213846448664,1.084425926208496,1.2318703033053748,"Geoff Jenkins",690,132961
"Dmitri Young","WSN",136,508,13,57,74,0,0.086614173,0.145669291,0.17173913,0.356382978,0.319565217,0.377952755,0.491304347,0.37466780324856125,,127.15133890487999,-6.532351248431951,11.375381175619854,-17.86136817932129,1.0037311796674222,"Dmitri Young",505,124693
"Bengie Molina","SFG",134,517,19,38,81,0,0.029013539,0.102514506,0.15694165,0.276346604,0.275653923,0.298449612,0.432595573,0.3150042243272878,,84.59178968793395,-6.06459507602267,-16.407162823582983,9.465020179748535,0.9882223026033418,"Bengie Molina",24,134260
"Mark Loretta","HOU",133,511,4,52,41,1,0.086105675,0.080234833,0.084782609,0.307692307,0.286956521,0.352362204,0.37173913,0.32633533991697267,,93.42746547149619,-5.350049395579845,-9.71058071427061,1.477526143193245,0.842954089585518,"Mark Loretta",1383,117928
"Jacque Jones","CHC",135,495,5,52,66,6,0.068686868,0.141414141,0.114790287,0.325459317,0.284768211,0.335365853,0.399558498,0.3210670347086458,,85.0759773887538,-4.286291548982263,-13.877575111109415,5.965849697589874,0.822759360577082,"Jacque Jones",735,150218
"José Cruz Jr.","SDP",91,293,6,37,21,6,0.105802047,0.221843003,0.140625,0.29032258,0.234375,0.315972222,0.375,0.30677064121392544,,88.11758828805894,1.2443341671023518,-3.2758679053195516,2.001347780227661,0.8195434720191899,"Jose Cruz Jr.",1296,112903
"Tony Graffanino","MIL",86,260,9,34,30,0,0.092307692,0.169230769,0.151515151,0.255555555,0.238095238,0.315384615,0.389610389,0.30352095191872963,,78.76137030459857,-0.823400771478191,-7.992844731883298,7.626101341098547,0.8017971437520901,"Tony Graffanino",235,115017
"Cliff Floyd","CHC",108,322,9,40,45,0,0.108695652,0.145962732,0.138297872,0.314159292,0.283687943,0.372670807,0.421985815,0.3498557183644749,,103.68232630182213,-0.8065177437383682,0.7329258309025173,-3.749660909175873,0.7429974068758509,"Cliff Floyd",518,114260
"David Eckstein","STL",117,484,3,58,31,10,0.049586776,0.045454545,0.073732719,0.314903846,0.30875576,0.356394129,0.382488479,0.33029925323382364,,97.30699731437944,-1.7976535372436047,-3.489916236150826,-5.020510196685791,0.728915027457706,"David Eckstein",10,275930
"Brian Schneider","WSN",129,477,6,33,54,0,0.117400419,0.117400419,0.100490196,0.254957507,0.235294117,0.325581395,0.335784313,0.29431755514615593,,75.22035208665326,-4.383953805314377,-19.730093384887333,10.007743835449219,0.5881314040165763,"Brian Schneider",795,150411
"Carlos Delgado","NYM",139,607,24,71,87,4,0.085667215,0.194398682,0.189591078,0.286069651,0.258364312,0.332784184,0.44795539,0.33588067746918665,,100.7787639556454,-4.551710442639887,-3.9379764654838976,-10.800674378871918,0.5175362303769324,"Carlos Delgado",1297,113232
