Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Brandon Crawford","SFG",138,549,24,79,90,11,0.102003642,0.19125683,0.223602485,0.334261838,0.298136645,0.373406193,0.52173913,0.37713274529845237,0.35332389255474506,139.67776093736074,-1.6167343887500465,26.114343126360406,17.330808639526367,6.202860963627204,"Brandon Crawford",5343,543063
"Buster Posey","SFG",113,454,18,68,56,0,0.123348017,0.191629955,0.194936709,0.349315068,0.303797468,0.389867841,0.498734177,0.37888653002231315,0.35756263647950304,140.81757252662743,-3.26090941647999,20.33030348032274,17.514575481414795,5.3217899293132955,"Buster Posey",9166,457763
"Paul Goldschmidt","STL",158,679,31,102,99,12,0.098674521,0.20029455,0.220563847,0.331065759,0.293532338,0.365243004,0.514096185,0.3734484329885711,0.39572486651719674,135.91614470511175,1.4503465553279966,32.49642359605833,-6.992112159729004,4.841050844063428,"Paul Goldschmidt",9218,502671
"Freddie Freeman","ATL",159,695,31,120,83,8,0.122302158,0.153956834,0.203333333,0.321120689,0.3,0.392805755,0.503333333,0.3791464183260413,0.40974212781319036,135.99503371937433,1.395398749038577,33.24284646091498,-9.240537166595459,4.744247969206902,"Freddie Freeman",5361,518692
"J.T. Realmuto","PHI",134,537,17,64,73,13,0.089385474,0.240223463,0.176470588,0.325301204,0.262605042,0.34264432,0.43907563,0.3356284449871321,0.32886978378869536,108.567030006476,2.9991700563114136,8.855854400920725,19.36828637123108,4.636211239630341,"J.T. Realmuto",11739,592663
"Max Muncy","LAD",144,592,36,95,94,2,0.140202702,0.202702702,0.277665996,0.257309941,0.249496981,0.368243243,0.527162977,0.37869148877857084,0.4061954335269765,139.36417480433613,-1.2572985861916095,28.409460328224938,-3.2754034996032715,4.511326928512332,"Max Muncy",13301,571970
"Nolan Arenado","STL",157,653,34,81,105,2,0.076569678,0.147013782,0.239460371,0.24893617,0.254637436,0.312404287,0.494097807,0.335943981750991,0.31322965400163516,111.5414266521601,1.3047759018372744,10.89922230421688,9.61569333076477,4.253294999266865,"Nolan Arenado",9777,571448
"Brandon Belt","SFG",97,381,29,65,59,3,0.125984251,0.270341207,0.323076923,0.30927835,0.273846153,0.377952755,0.596923076,0.40626257705310037,0.3708105339575066,158.60968534952224,-0.4600808769464493,27.96761164739101,-5.126866579055786,3.571733741560346,"Brandon Belt",10264,474832
"Jean Segura","PHI",131,567,14,76,58,9,0.068783068,0.137566137,0.145914397,0.316901408,0.289883268,0.348056537,0.435797665,0.3375126980972968,0.3213109851095978,109.79163500095301,1.1887755640782416,8.256596187747165,7.368541717529297,3.47373768375357,"Jean Segura",5933,516416
"AJ Pollock","LAD",117,422,21,53,69,9,0.071090047,0.189573459,0.239583333,0.326315789,0.296875,0.355450236,0.536458333,0.3748424556551938,0.3561561657832219,136.86262914607624,0.9051671621855348,20.708851806462278,-3.3877826929092407,3.156136842840414,"AJ Pollock",9256,572041
"Starling Marte","MIA",64,275,7,52,25,22,0.116363636,0.207272727,0.145922746,0.376470588,0.30472103,0.405109489,0.450643776,0.3731968880576246,0.3537873941309312,133.05835492865947,4.715941870119423,16.2893475304261,5.953540861606598,3.1552865687242955,"Starling Marte",9241,516782
"Jacob Stallings","PIT",112,427,8,38,53,0,0.114754098,0.199063231,0.122994653,0.296819787,0.245989304,0.334894613,0.368983957,0.31187709391256685,0.3132720161098507,92.29249994139577,-1.0062546250410378,-5.196009892543525,21.483036994934082,3.0692638524477878,"Jacob Stallings",13723,607732
