Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Gary Sheffield","ATL",155,678,39,126,132,18,0.126843657,0.081120943,0.274305555,0.308163265,0.329861111,0.418879056,0.604166666,0.4308426804130986,,162.5618907693528,2.5561883514747024,56.999448081745,-4.791260480880737,7.329678782248462,"Gary Sheffield",114,122111
"Javy Lopez","ATL",129,495,43,89,109,0,0.066666666,0.181818181,0.358862144,0.329230769,0.328227571,0.377777777,0.687089715,0.44178113621108384,,169.6988536358639,-0.9979559978237376,43.28487675969193,9.180727005004883,6.763860483985925,"Javy Lopez",103,117919
"Jim Edmonds","STL",137,531,39,89,89,1,0.145009416,0.239171374,0.342281879,0.296819787,0.275167785,0.38490566,0.617449664,0.4174282185676444,,156.01854393405324,-1.2666293900692835,36.91292875546682,9.670917868614197,6.301141517231245,"Jim Edmonds",1153,113744
"Brian Giles","- - -",134,609,20,93,88,4,0.172413793,0.095238095,0.215447155,0.303827751,0.298780487,0.426929392,0.514227642,0.40364239593247075,,146.22732281560113,1.8924724538810551,38.02685150263372,-11.388123571872711,4.589671531712306,"Brian Giles",990,114789
"Ivan Rodriguez","FLA",144,578,16,90,85,10,0.095155709,0.15916955,0.176125245,0.333333333,0.297455968,0.369150779,0.473581213,0.3627560860012542,,122.20127437787382,-0.669639396481216,15.800994094421249,10.599879264831543,4.466114959298966,"Ivan Rodriguez",1275,121358
"Mark Loretta","SDP",154,653,13,74,72,5,0.082695252,0.094946401,0.127334466,0.332046332,0.31409168,0.372307692,0.441426146,0.3563898375004898,,120.57562630918414,-1.740565851680003,15.504736210030195,7.671479940414429,4.390951167336285,"Mark Loretta",1383,117928
"Jim Thome","PHI",159,698,47,111,131,0,0.159025787,0.260744985,0.306228373,0.302259887,0.266435986,0.385386819,0.572664359,0.4012570004622836,,145.38150935382546,-2.0010356365237385,38.656300413699036,-17.70098114013672,4.317688356483601,"Jim Thome",409,123272
"Chipper Jones Jr.","ATL",153,656,27,103,106,2,0.143292682,0.12652439,0.212612613,0.314855875,0.304504504,0.402439024,0.517117117,0.3913432082529201,,136.78985573439786,0.9203175458824262,31.897112774806608,-13.510056972503662,3.929187300051279,"Chipper Jones Jr.",97,116706
"Luis Gonzalez","ARI",156,679,26,92,104,5,0.13843888,0.098674521,0.227979274,0.306748466,0.303972366,0.402061855,0.53195164,0.3949077836156252,,134.12599931925888,-3.9023340702988207,25.838949837476207,-9.044023752212524,3.8467533667793594,"Luis Gonzalez",55,114935
"Jeff Bagwell","HOU",160,702,39,109,100,11,0.125356125,0.169515669,0.246280992,0.286666666,0.27768595,0.373219373,0.523966942,0.38448645330123465,,130.67228164599558,-3.83731972402893,23.799480311928562,-9.061290264129639,3.7185826121703713,"Jeff Bagwell",547,110432
"Jeff Kent","HOU",130,552,22,77,93,6,0.070652173,0.153985507,0.211881189,0.319201995,0.297029702,0.351449275,0.508910891,0.36819479432972996,,120.04253945378348,-0.04138115071691573,14.158881772788902,1.3945554494857788,3.3142807914321444,"Jeff Kent",1119,116999
"Mike Lieberthal","PHI",131,561,13,68,81,0,0.067736185,0.10516934,0.13976378,0.332574031,0.312992125,0.372549019,0.452755905,0.3609526615876418,,119.08432671488481,-4.205815699300729,9.536004593798054,3.8051271438598633,3.1255701839778856,"Mike Lieberthal",959,117759
"Ray Durham","SFG",110,469,8,61,33,7,0.106609808,0.174840085,0.156097561,0.338509316,0.285365853,0.365591397,0.441463414,0.3528627234452744,,114.67985520993437,2.4193941730773076,11.256278607294508,4.764078617095947,3.0921241332024065,"Ray Durham",230,113660
"Reggie Sanders","PIT",130,498,31,74,87,15,0.07630522,0.220883534,0.282560707,0.31210191,0.284768211,0.345381526,0.567328918,0.38338968169833965,,131.60284719658233,3.2887168403249234,23.489123607145835,-9.48368215560913,2.9874525117656647,"Reggie Sanders",1129,121673
"Sammy Sosa","CHC",137,589,40,99,103,0,0.105263157,0.24278438,0.274661509,0.30678466,0.27852998,0.358234295,0.553191489,0.38213452234350404,,131.13802550778416,-1.3193787797354162,22.220863347619385,-13.001466274261475,2.81026851247581,"Sammy Sosa",302,122544
"Paul Lo Duca","LAD",147,630,7,64,52,0,0.069841269,0.085714285,0.10387324,0.291338582,0.272887323,0.335473515,0.376760563,0.31379478870373295,,91.9451723263865,-5.460856456309557,-11.974160678899032,17.749906539916992,2.6037136927234736,"Paul Lo Duca",662,134001
"J.T. Snow","SFG",103,396,8,48,51,1,0.138888888,0.138888888,0.145454546,0.304832713,0.272727272,0.387341772,0.418181818,0.3601947357382955,,119.4637388255479,-0.8374860952608287,9.055468480442007,1.649179458618164,2.3330170751000883,"J.T. Snow",1133,122497
"Mark Grudzielanek","CHC",121,531,3,73,38,6,0.056497175,0.120527306,0.101871102,0.35576923,0.313929313,0.366412213,0.415800415,0.34628459401713074,,107.74719119280378,-1.4543647195678204,3.8257499681406504,2.00931715965271,2.289746136689811,"Mark Grudzielanek",653,115210
"Cliff Floyd","NYM",108,425,18,57,68,3,0.12,0.155294117,0.227397261,0.306620209,0.290410958,0.376470588,0.517808219,0.3818684138586617,,133.36531866373775,1.6266430708346888,19.82737142119624,-11.810335636138916,2.1621238099919253,"Cliff Floyd",518,114260
"Chris Stynes","COL",138,502,11,71,73,3,0.095617529,0.151394422,0.158013544,0.284916201,0.255079006,0.334669338,0.41309255,0.32858396617763014,,81.66386007612988,3.892955490271561,-7.921567513740115,12.609873652458191,2.0831756616921617,"Chris Stynes",303,122918
"Rich Aurilia","SFG",129,545,13,65,58,2,0.066055045,0.150458715,0.132673268,0.307506053,0.277227722,0.324770642,0.40990099,0.32167640038586537,,94.33186151424138,-2.6459252919303253,-6.610909988963757,8.778723239898682,1.973959237860016,"Rich Aurilia",1106,110383
