Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Barry Bonds","SFG",143,607,49,129,106,11,0.192751235,0.126853377,0.38125,0.271468144,0.30625,0.439868204,0.6875,0.45592185493208404,,174.4047888557604,0.9006855273619294,62.33479120984455,-0.9242277145385742,7.626178876494719,"Barry Bonds",1109,111188
"Jeff Kent","SFG",159,695,33,114,125,12,0.129496402,0.153956834,0.262350937,0.35745614,0.333901192,0.424460431,0.596252129,0.4311473475139269,,158.5308287494179,-1.6374586336314678,53.69620666674994,2.3654544353485107,7.376792578663309,"Jeff Kent",1119,116999
"Gary Sheffield","LAD",141,612,43,105,109,4,0.165032679,0.116013071,0.317365269,0.305343511,0.325349301,0.437908496,0.64271457,0.4509590581428906,,173.4820919487197,-1.8659303227905184,59.30609992763091,-9.044237613677979,6.5501663563510695,"Gary Sheffield",114,122111
"Jim Edmonds","STL",152,643,42,129,108,10,0.160186625,0.259720062,0.287619047,0.348765432,0.295238095,0.411214953,0.582857142,0.4206574405303024,,148.57457503727534,0.7154230405576527,43.200845739937655,4.715825796127319,6.474210942593319,"Jim Edmonds",1153,113744
"Jeff Bagwell","HOU",159,719,47,152,132,9,0.148817802,0.161335187,0.305084746,0.313364055,0.310169491,0.424200278,0.615254237,0.4348708230391734,,153.4245219329557,-0.8570877981837839,51.39329731583132,-11.784978866577148,5.920476881169272,"Jeff Bagwell",547,110432
"Mike Piazza","NYM",136,545,38,90,113,4,0.106422018,0.126605504,0.290456431,0.312997347,0.323651452,0.398165137,0.614107883,0.42252611278373503,,153.18112423711074,-0.049670890206471086,39.3755356398248,5.259001731872559,5.819092494172447,"Mike Piazza",893,120536
"Sammy Sosa","CHC",156,705,50,106,138,7,0.129078014,0.238297872,0.314569537,0.362944162,0.319536423,0.405673758,0.63410596,0.42752317350042807,,153.70331313258734,-0.35239684162661433,51.14795041037759,-12.047306537628174,5.792768860090717,"Sammy Sosa",302,122544
"Ken Griffey Jr.","CIN",145,631,40,100,118,6,0.148969889,0.185419968,0.284615384,0.272237196,0.271153846,0.386687797,0.55576923,0.3919842130586456,,127.22476625352868,-0.5602568532340229,22.807309240233895,13.104474544525146,5.3835467056965465,"Ken Griffey Jr.",327,115135
"Luis Gonzalez","ARI",162,722,31,106,114,2,0.10803324,0.117728531,0.233009709,0.313229571,0.310679611,0.391666666,0.54368932,0.3974067455246335,,130.61060742435413,-1.3435543468222022,28.719223392373237,-2.359412670135498,4.739480433323591,"Luis Gonzalez",55,114935
"Ellis Burks","SFG",122,458,24,74,96,5,0.122270742,0.106986899,0.262086514,0.338414634,0.34351145,0.419213973,0.605597964,0.4298174845724969,,157.67873546970685,0.6073414741549641,36.54097789757557,-4.5747575759887695,4.395275861201398,"Ellis Burks",372,111736
"Eric Young Sr.","CHC",153,690,6,98,47,54,0.091304347,0.056521739,0.10214168,0.306878306,0.296540362,0.367496339,0.398682042,0.3433126520551195,,99.74646000954912,7.679513717535883,7.441547382949054,7.202794075012207,3.5540509336092416,"Eric Young Sr.",716,124695
"Steve Finley","ARI",152,623,35,100,96,12,0.104333868,0.139646869,0.263450834,0.272300469,0.280148423,0.360708534,0.543599257,0.37947965794355165,,119.1240471355131,-0.2860715710557997,15.920375415263521,-1.014969825744629,3.309482474420324,"Steve Finley",54,114135
"John Vander Wal","PIT",134,461,24,74,94,11,0.156182212,0.19956616,0.263020834,0.335793357,0.299479166,0.409978308,0.5625,0.41336928477935625,,142.37414580225126,1.3444341241847724,27.916287222454766,-8.39494800567627,3.2297745118282934,"John Vander Wal",853,123639
"Moises Alou","HOU",126,517,30,82,114,3,0.10058027,0.087040618,0.268722467,0.337628865,0.35462555,0.415860735,0.623348017,0.43551876542628626,,153.83968302700433,-0.7057007534895092,37.15712286139894,-19.31721591949463,3.168328944442166,"Moises Alou",261,110189
"Fernando Viña","STL",123,554,4,81,31,10,0.064981949,0.064981949,0.098562628,0.316964285,0.299794661,0.380434782,0.398357289,0.3528887128484422,,105.1525985062297,-1.5932187922298908,2.289679624583922,11.730109095573425,3.1071659683292223,"Fernando Vina",1189,123726
"Jeff Cirillo","COL",157,684,11,111,115,3,0.097953216,0.105263157,0.150501672,0.34914611,0.326086956,0.39238653,0.476588628,0.3778635825254078,,98.51837187122938,-1.142571842763573,-2.5210988439604556,11.265088319778442,3.0181757631123856,"Jeff Cirillo",1073,112297
"Todd Zeile","NYM",153,623,22,67,79,3,0.118780096,0.136436597,0.198529412,0.281818181,0.268382352,0.356340288,0.466911764,0.35676960481002756,,111.04845266915802,-1.1627131148707122,8.200167095305238,-0.8882026672363281,2.7018765469402215,"Todd Zeile",457,124755
"Todd Hundley","LAD",90,353,24,49,70,0,0.127478753,0.195467422,0.294314381,0.287735849,0.284280936,0.375,0.578595317,0.3953790382153726,,137.86987959883763,-0.4177123182453215,17.76625283897411,-1.1009345054626465,2.597550037581879,"Todd Hundley",284,116316
"Chad Kreuter","LAD",80,271,6,32,28,1,0.199261992,0.177121771,0.146226415,0.314465408,0.264150943,0.416356877,0.410377358,0.3778999461117287,,126.67036688743745,0.2456863031256944,10.077151399717032,8.061153888702393,2.5509017896608466,"Chad Kreuter",661,117316
"Greg Colbrunn","ARI",116,385,15,48,57,0,0.111688311,0.116883116,0.209726444,0.323529411,0.313069908,0.405194805,0.522796352,0.4014323591874723,,133.18996973452525,-0.402974802069366,16.978536962317893,-4.492909908294678,2.3768979336177782,"Greg Colbrunn",51,112461
"Damian Miller","ARI",100,364,10,43,44,2,0.098901098,0.203296703,0.166666666,0.32644628,0.274691358,0.347107438,0.441358024,0.3417576614528645,,94.95414307574957,-0.47668967582285404,-2.9750569147388086,14.881575584411621,2.301703996511464,"Damian Miller",65,119064
"Marvin Benard","SFG",149,633,12,102,55,22,0.099526066,0.153238546,0.133928571,0.298013245,0.2625,0.342313787,0.396428571,0.3297668193863991,,93.5725055870833,1.2642848554532975,-4.270049311955028,6.817902624607086,2.262409806115854,"Marvin Benard",1382,110847
"Robin Ventura","NYM",141,551,24,61,84,3,0.136116152,0.165154264,0.206823028,0.237430167,0.232409381,0.338181818,0.439232409,0.33233548229954946,,95.39258999474825,-1.6379017462022603,-5.091154928747032,6.8958669900894165,1.9294267328821542,"Robin Ventura",854,123697
"Larry Walker","COL",87,372,9,64,51,5,0.123655913,0.107526881,0.197452229,0.328358208,0.308917197,0.40860215,0.506369426,0.39570035283332283,,109.94706248109088,-1.2452704983297735,3.7880866406285882,3.1899852752685547,1.862856557262818,"Larry Walker",455,123833
"Brian Jordan","ATL",133,537,17,71,77,10,0.0707635,0.148975791,0.157464213,0.282115869,0.26380368,0.320297951,0.421267893,0.32336302435220177,,86.28222780866807,1.1429603695869446,-8.877272920292167,9.300412654876709,1.8312922200290818,"Brian Jordan",658,116747
"Jeromy Burnitz","MIL",161,686,31,91,98,6,0.144314868,0.176384839,0.223404255,0.237529691,0.232269503,0.355685131,0.455673758,0.34975000281305707,,102.38805603090485,-0.5553443478420377,1.6730322501949608,-6.2376532554626465,1.7326928676401596,"Jeromy Burnitz",867,111742
"Joe Girardi","CHC",106,407,6,47,40,1,0.078624078,0.149877149,0.096418733,0.317725752,0.278236914,0.339152119,0.374655647,0.31707133584885144,,82.93266026106544,0.2545288128312677,-9.194348360243685,13.484567642211914,1.716107518402738,"Joe Girardi",280,114833
"Tom Goodwin","- - -",147,606,6,94,58,55,0.112211221,0.193069306,0.089015152,0.325183374,0.263257575,0.34608985,0.352272727,0.31630689831130293,,69.88624082342761,6.488826614804566,-18.334361471095278,14.635801762342453,1.6508234430896445,"Tom Goodwin",1114,114961
"Ron Gant","PHI",89,384,20,54,38,5,0.09375,0.190104166,0.233236152,0.264822134,0.253644314,0.323759791,0.486880466,0.34576360483444174,,99.89327179758816,-0.798083147732541,-0.8538312874727394,4.263719797134399,1.5772748851336802,"Ron Gant",1032,114567
"Eric Karros","LAD",155,663,31,84,106,4,0.095022624,0.184012066,0.208904109,0.259593679,0.25,0.321266968,0.458904109,0.33418167746553984,,98.65842539069762,-0.505700750509277,-1.7155975263673646,-4.524949073791504,1.5496360254282981,"Eric Karros",659,116852
"Bill Spiers","HOU",124,409,3,41,43,7,0.1198044,0.092909535,0.090140845,0.329113924,0.30140845,0.385749385,0.391549295,0.3495665379975102,,98.76685327396142,-0.37548561696894467,-1.061539178189736,3.708387851715088,1.5406689958924447,"Bill Spiers",1012338,122593
"Craig Biggio","HOU",101,466,8,67,35,12,0.130901287,0.15665236,0.124668435,0.308970099,0.267904509,0.387799564,0.392572944,0.35289380307260315,,100.89875733864295,1.553276636870578,2.1229794015980676,-1.5379514694213867,1.491328473284672,"Craig Biggio",549,110987
"Ray Lankford","STL",128,472,26,73,65,5,0.148305084,0.313559322,0.255102041,0.325892857,0.25255102,0.366525423,0.507653061,0.3749971135406737,,119.318283606645,-1.6973703543189913,10.70573683617182,-10.766802787780762,1.4281633642870213,"Ray Lankford",1044,117484
"Derek Bell","NYM",144,622,18,87,69,8,0.104501607,0.20096463,0.159340659,0.312807881,0.265567765,0.348387096,0.424908424,0.34212253516720187,,101.66352342472705,-0.1582918451167643,1.2491785422219817,-6.956789016723633,1.4116684261493964,"Derek Bell",1000801,110818
"Mark Grudzielanek","LAD",148,676,7,101,49,12,0.066568047,0.119822485,0.110210697,0.310150375,0.278768233,0.335311572,0.38897893,0.3224855503979352,,91.16427621000406,1.107563037890941,-7.017164163216295,-0.7560536861419678,1.374687717186547,"Mark Grudzielanek",653,115210
"Ricky Gutierrez","CHC",125,542,11,73,56,8,0.121771217,0.10701107,0.124721603,0.294270833,0.276169265,0.374524714,0.400890868,0.34958844277795276,,103.76759552149059,0.7611366335768253,3.5388249963909137,-6.7616777420043945,1.3102712584230982,"Ricky Gutierrez",387,115263
"Jay Bell","ARI",149,649,18,87,68,7,0.107858243,0.13559322,0.169911504,0.286637931,0.267256637,0.348367029,0.437168141,0.3449455963137732,,96.99677302392745,0.10363301867619157,-2.547629998918421,-4.975532293319702,1.2838293766747473,"Jay Bell",48,110826
"J.T. Snow","SFG",155,627,19,82,96,1,0.105263157,0.205741626,0.175373134,0.330845771,0.283582089,0.365231259,0.458955223,0.35579517354135926,,110.24985252746193,-1.0968582497444004,7.645027344623118,-14.916751861572266,1.2603341097435774,"J.T. Snow",1133,122497
"Lee Stevens","MON",123,501,22,60,75,0,0.095808383,0.209580838,0.216035635,0.299382716,0.265033407,0.337325349,0.481069042,0.34862218192129424,,101.48392137405136,0.055020060390233994,1.0662934443024392,-6.884859085083008,1.0445936156462323,"Lee Stevens",796,122765
"Mike Benjamin","PIT",93,255,2,28,19,5,0.047058823,0.176470588,0.120171673,0.326203208,0.270386266,0.313253012,0.390557939,0.3101054942272753,,76.2091454659753,-0.812329413369298,-9.064537732905375,10.451189637184143,0.9932742456265393,"Mike Benjamin",981,110862
"Tony Eusebio","HOU",74,249,7,24,33,0,0.100401606,0.180722891,0.178899083,0.321428571,0.279816513,0.361445783,0.458715596,0.3564284689995924,,103.16355094148784,0.03094878396950662,1.10245363124143,0.6010541915893555,0.9080490351670468,"Tony Eusebio",1003854,113929
"Matt Williams","ARI",96,397,12,43,47,1,0.050377833,0.128463476,0.156334232,0.289389067,0.274932614,0.31486146,0.431266846,0.3228316695401163,,82.827547154987,-0.6747246766462922,-9.948205966400707,3.2705756425857544,0.6393494191350579,"Matt Williams",77,124326
"Brent Mayne","COL",117,395,6,36,64,1,0.118987341,0.121518987,0.11641791,0.328719723,0.301492537,0.381074168,0.417910447,0.3431607369708006,,76.28295154127083,-1.1263332820963115,-13.869509753096231,5.94158935546875,0.49516522591573,"Brent Mayne",614,118490
"Charlie Hayes","MIL",121,435,9,46,46,1,0.131034482,0.193103448,0.118918919,0.296819787,0.251351351,0.347926267,0.37027027,0.320930079388064,,83.92204550667965,-0.20051854639314115,-9.714011763597856,0.0381772518157959,0.48798279258751603,"Charlie Hayes",1005525,115640
"Bret Boone","SDP",127,525,19,61,74,8,0.095238095,0.184761904,0.17062635,0.274011299,0.250539956,0.325714285,0.421166306,0.3216290159805401,,91.51490276833427,-0.17843311722390354,-6.237923318651886,-7.118433594703674,0.34045802499624367,"Bret Boone",1067,111214
"Kevin Elster","LAD",80,259,14,29,32,0,0.146718146,0.2007722,0.227272727,0.233766233,0.227272727,0.341085271,0.454545454,0.34088097565730097,,102.9509180906158,0.029966282891109586,1.069591678464533,-5.552012205123901,0.33687691483627374,"Kevin Elster",1003758,113828
"Damon Buford","CHC",150,556,15,64,48,4,0.084532374,0.212230215,0.139393939,0.299450549,0.25050505,0.324275362,0.389898989,0.31556388958338616,,81.96678265645511,-1.8909841002896428,-15.529526852502702,-0.3813447952270508,0.25248085005973375,"Damon Buford",1001635,111673
"Keith Lockhart","ATL",113,313,2,32,32,4,0.092651757,0.099041533,0.087272727,0.288617886,0.265454545,0.331168831,0.352727272,0.2982528308697317,,70.19318099633308,0.3783576893620193,-12.31217723950756,4.077960848808289,0.2394892688094135,"Keith Lockhart",1380,117854
"Reggie Sanders","ATL",103,377,11,43,37,21,0.084880636,0.206896551,0.170588235,0.270916334,0.232352941,0.302139037,0.402941176,0.3074039935424764,,76.05667562578978,2.397495645098388,-9.881016954823034,-0.954047679901123,0.19897901911883603,"Reggie Sanders",1129,121673
"Mike Bordick","NYM",56,211,4,18,21,3,0.071090047,0.132701421,0.104166667,0.2875,0.260416666,0.320574162,0.364583333,0.3075396806429448,,79.50498586772335,0.16705892398022115,-5.715288052255394,0.3628237247467041,0.15018482136625477,"Mike Bordick",129,111234
"Carlos Hernandez","- - -",75,270,3,23,35,2,0.077777777,0.129629629,0.099173553,0.285024154,0.256198347,0.322222222,0.3553719,0.30316271613521645,,78.28957748801622,-0.9464745512232184,-8.920029664523982,0.901123046875,0.07320483324634897,"Carlos Hernandez",1005696,115815
"Kelly Stinnett","ARI",76,265,8,22,33,0,0.071698113,0.211320754,0.129166667,0.25,0.216666666,0.290566037,0.345833333,0.27939817366472147,,54.99807029928559,-0.43146733334288,-16.653189977454367,8.229766845703125,0.07165462009006252,"Kelly Stinnett",356,122803
"Terry Shumpert","COL",115,300,9,52,40,8,0.093333333,0.133333333,0.197718631,0.2718894,0.258555133,0.34,0.456273764,0.34445037849770743,,77.10927344564091,-0.20348689472302794,-9.544646508213395,-0.006518125534057617,0.062053085233571115,"Terry Shumpert",449,122205
"Henry Rodriguez","- - -",112,410,20,47,61,1,0.087804878,0.241463414,0.226158038,0.294820717,0.25613079,0.326829268,0.482288828,0.34553707259542804,,101.80507474420894,-0.6757071777246892,0.33099036222405376,-13.087794065475464,0.03588250963469697,"Henry Rodriguez",1427,121357
"Benito Santiago","CIN",89,277,8,22,45,2,0.068592057,0.162454873,0.146825397,0.284313725,0.261904761,0.310469314,0.408730158,0.30078403568622347,,68.78937729236746,-0.4914271919988096,-12.251287518076918,3.2183384895324707,0.01592882456241218,"Benito Santiago",1130,121693
"Al Martin","SDP",93,378,11,62,27,6,0.074074074,0.142857142,0.167630058,0.335689045,0.306358381,0.359788359,0.473988439,0.35771339620406123,,114.63552440016794,-2.4300625945907086,5.095172093648781,-16.73285412788391,0.009870166056818175,"Al Martin",1167,118329
"José Hernández","MIL",124,496,11,51,59,3,0.08266129,0.252016129,0.127802691,0.313099041,0.244394618,0.314516129,0.372197309,0.3038352642049654,,72.96875349317533,-2.561260229209438,-20.798861241395958,3.7143356800079346,-0.022017029159342727,"Jose Hernandez",688,115825
"Tony Womack","ARI",146,659,7,95,57,45,0.04552352,0.11229135,0.113452188,0.295748613,0.270664505,0.307458143,0.384116693,0.3035502515427054,,70.47321635362887,4.019041709601879,-22.448982135851853,0.3734555244445801,-0.025498731533070584,"Tony Womack",78,124523
"Mark Smith","FLA",104,213,5,22,27,2,0.079812206,0.253521126,0.130208334,0.311111111,0.244791666,0.309859154,0.375,0.3018817640138122,,75.26080549157236,0.4250537834595889,-6.742733682140271,-1.6683845520019531,-0.11214416605829138,"Mark Smith",540,122432
"Pat Meares","PIT",132,514,13,55,47,1,0.07003891,0.177042801,0.14069264,0.271468144,0.24025974,0.304518664,0.38095238,0.29833631415964357,,68.6681884764117,0.25502006337046623,-21.65125745436565,2.529834270477295,-0.18380593604728257,"Pat Meares",1008712,118897
"Lenny Harris","- - -",112,248,4,31,26,13,0.080645161,0.088709677,0.121076233,0.27,0.260089686,0.31707317,0.381165919,0.3049687330351501,,75.68822695598197,2.1700064570177346,-6.031398841914527,-4.346936717629433,-0.21424434740618334,"Lenny Harris",1394,115529
"Craig Paquette","STL",134,420,15,47,61,4,0.064285714,0.197619047,0.190104167,0.270547945,0.244791666,0.293556085,0.434895833,0.3113680024181256,,78.54871533579004,-0.5400882882531732,-12.795349076142108,-5.023089170455933,-0.3648298415253052,"Craig Paquette",484,120214
