Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Chase Utley","PHI",156,687,31,112,93,23,0.128093158,0.160116448,0.225919439,0.29953917,0.281961471,0.397379912,0.50788091,0.39442098646136053,,140.85111827143447,12.268392454832792,46.80771275127107,13.375587701797485,8.1768864839319,"Chase Utley",1679,400284
"Derrek Lee","CHC",141,615,35,91,111,1,0.123577235,0.177235772,0.272556391,0.326530612,0.306390977,0.393495934,0.578947368,0.41300324775119523,,150.13052779263745,-0.9186087287962437,37.024288805284904,-4.365304946899414,5.197016440971589,"Derrek Lee",525,117601
"Jayson Werth","PHI",159,676,36,98,99,20,0.134615384,0.23076923,0.238178634,0.303896103,0.267950963,0.372781065,0.506129597,0.37763263454694235,,129.5817708927341,3.373974908143282,27.984674841461697,-2.529104709625244,4.667619276626703,"Jayson Werth",1327,150029
"Casey Blake","LAD",139,565,18,84,79,3,0.111504424,0.205309734,0.187628866,0.326869806,0.280412371,0.363475177,0.468041237,0.35709409844532286,,119.60710453190882,0.8383272290229797,14.472067373600769,13.185399889945984,4.539729046728131,"Casey Blake",719,232694
"Rafael Furcal","LAD",150,680,9,92,47,12,0.089705882,0.130882352,0.106035889,0.301740812,0.269168026,0.335302806,0.375203915,0.3168559576846935,,92.59685430507525,2.5076487623155117,-3.6878790273939694,12.231276512145996,2.98798218200725,"Rafael Furcal",88,279577
"Carlos Beltrán","NYM",81,357,10,50,48,11,0.131652661,0.120448179,0.175324676,0.3515625,0.324675324,0.414565826,0.5,0.39293243922829973,,143.6624441051108,0.9099475629627705,20.093514374674054,-2.5128804445266724,2.8789750464919064,"Carlos Beltran",589,136860
"Juan Uribe","SFG",122,432,16,50,55,3,0.05787037,0.189814814,0.206030151,0.324590163,0.288944723,0.328671328,0.494974874,0.35166920138745456,,114.77153679314263,0.7407653369009495,8.594252307373434,5.814571142196655,2.7968867805580535,"Juan Uribe",454,346874
"Orlando Hudson","LAD",149,631,9,74,62,8,0.098256735,0.156893819,0.13430127,0.328125,0.283121597,0.356913183,0.417422867,0.3407146768662536,,108.61225568803947,2.1481540501117706,8.836201943913775,-0.730463981628418,2.790478650291199,"Orlando Hudson",1307,407861
"Lance Berkman","HOU",136,563,25,73,80,7,0.172291296,0.174067495,0.234782609,0.296187683,0.273913043,0.398576512,0.508695652,0.3874795290022871,,138.39135639517326,-4.274513613432646,22.326301909889086,-13.779164552688599,2.621328494553304,"Lance Berkman",548,204020
"Todd Helton","COL",151,645,15,79,86,0,0.137984496,0.113178294,0.163602941,0.347639484,0.325367647,0.415503875,0.488970588,0.39383582333102823,,131.3106901149386,-8.952003989368677,15.902520272392387,-10.02657437324524,2.611289712096071,"Todd Helton",432,115732
