Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Brian McCann","ATL",145,573,23,68,87,5,0.099476439,0.111692844,0.22200393,0.305882352,0.30058939,0.373472949,0.52259332,0.38575447265628354,,135.15047022053278,-4.785169821232557,20.496708250719905,44.262210845947266,8.288930174578898,"Brian McCann",4810,435263
"Hanley Ramirez","FLA",153,693,33,125,67,35,0.132756132,0.176046176,0.239388795,0.328767123,0.300509337,0.399711399,0.539898132,0.4029960168732537,,144.30653426370975,6.305868081049994,44.84701071669623,7.556331217288971,7.441371490860775,"Hanley Ramirez",8001,434670
"Russell Martin","LAD",155,650,13,87,69,18,0.138461538,0.127692307,0.115732369,0.309368191,0.28028933,0.384615384,0.396021699,0.349554226870106,,111.98095125373648,1.4207436991855502,11.196001713278363,41.06097289919853,7.2891674128815644,"Russell Martin",4616,431145
"David Wright","NYM",160,736,33,115,124,15,0.127717391,0.160326086,0.231629393,0.320987654,0.301916932,0.39047619,0.533546325,0.39619690473765545,,142.9579692075007,-1.3596646401565522,38.32704814113137,8.200007438659668,6.993240124089555,"David Wright",3787,431151
"José Reyes","NYM",159,763,16,113,68,56,0.086500655,0.107470511,0.17877907,0.31703204,0.296511627,0.357519788,0.475290697,0.35897716935475665,,118.48103612897046,7.655117349466309,25.355164588167522,8.852952599525452,5.851702760563032,"Jose Reyes",1736,408314
"Ryan Braun","MIL",151,663,37,92,106,14,0.063348416,0.194570135,0.268412439,0.305122494,0.28477905,0.334841628,0.553191489,0.3763472859342109,,128.72039990125813,4.249837238108739,28.151470724804582,-3.91667103767395,4.537533763879644,"Ryan Braun",3410,460075
"Yadier Molina","STL",124,485,7,37,56,0,0.065979381,0.059793814,0.087837837,0.30992736,0.304054054,0.348547717,0.391891891,0.3263126432147485,,97.13625546841087,-7.91632868652232,-9.659738888085204,34.72339153289795,4.050494477213016,"Yadier Molina",7007,425877
"J.J. Hardy","MIL",146,629,24,78,74,2,0.082670906,0.155802861,0.195079086,0.305122494,0.282952548,0.342948717,0.478031634,0.35558131985042407,,115.0640115117421,-4.728834787383676,7.164807040638493,12.893629550933838,4.012424478396229,"J.J. Hardy",3797,429666
"Joey Votto","CIN",151,589,24,69,84,7,0.100169779,0.173174872,0.209125476,0.328358208,0.296577946,0.368421052,0.505703422,0.3749232782372113,,124.09829304574369,-0.6098763837944716,17.20673665082277,-0.1246185302734375,3.5877331202076777,"Joey Votto",4314,458015
"Matt Kemp","LAD",155,657,18,93,76,35,0.07001522,0.232876712,0.168316832,0.360730593,0.290429042,0.339939024,0.458745874,0.34514938326982353,,109.08417993292143,8.037800817750394,15.529402332938119,-3.120686173439026,3.3395130196706053,"Matt Kemp",5631,461314
"Hunter Pence","HOU",157,642,25,78,83,11,0.062305295,0.193146417,0.196638655,0.300668151,0.268907563,0.317757009,0.465546218,0.3383797871880233,,104.46348937691705,0.1055388122331351,3.7024780793418444,4.913084983825684,2.913408232573051,"Hunter Pence",8252,452254
"Geovany Soto","CHC",141,563,23,66,86,0,0.110124333,0.214920071,0.218623481,0.332394366,0.285425101,0.364120781,0.504048582,0.37259585585585614,,120.01728297487652,-2.894062238978222,11.252049848432716,-1.421849250793457,2.781656585595754,"Geovany Soto",3707,434567
"Yunel Escobar","ATL",136,587,10,71,60,2,0.100511073,0.105621805,0.112840467,0.31081081,0.287937743,0.365517241,0.40077821,0.34140712892015773,,105.9861853680813,-4.171396565623581,0.23934724877868874,8.798811912536621,2.779514199401331,"Yunel Escobar",4191,488862
"Elijah Dukes","WSN",81,334,13,48,44,13,0.149700598,0.236526946,0.213768116,0.322580645,0.264492753,0.386227544,0.478260869,0.37961771967890745,,129.6765771349407,1.2514792738948017,13.6932973459186,3.062115430831909,2.7390827805536357,"Elijah Dukes",4946,452668
"Chris Young","ARI",160,699,22,85,85,14,0.08869814,0.236051502,0.1952,0.300225733,0.248,0.314574314,0.4432,0.32857229292133955,,91.05108805624221,5.400822701165453,-2.451008993837779,2.6099607944488525,2.2528758634200017,"Chris Young",3882,455759
