Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Elly De La Cruz","CIN",160,696,25,105,76,67,0.099137931,0.31321839,0.21197411,0.359042553,0.258899676,0.338616714,0.470873786,0.34864824028373453,0.3298914370329484,119.26510609565474,7.461432456970215,23.495434295822733,16.732966899871826,6.558866584423572,"Elly De La Cruz",26668,682829
"Jackson Merrill","SDP",156,593,24,77,90,16,0.048903878,0.170320404,0.207581228,0.31797235,0.292418772,0.32597623,0.5,0.351507786788097,0.3753677679567921,129.64684290775756,3.724392309784889,24.747379703699572,7.155835151672363,5.343270915613693,"Jackson Merrill",29490,701538
"Corbin Carroll","ARI",158,684,22,121,74,35,0.106725146,0.190058479,0.196943973,0.255605381,0.23089983,0.321585903,0.427843803,0.3248603077011837,0.329689624927662,107.07697861964971,11.087711863219738,16.876201627314508,2.2878754138946533,4.341939826942389,"Corbin Carroll",25878,682998
"Patrick Bailey","SFG",121,448,8,46,46,4,0.087053571,0.223214285,0.104738154,0.286666666,0.234413965,0.297539149,0.339152119,0.2813692890290979,0.3215222648020541,81.11877081707404,0.4792240560054779,-9.635861539084052,36.538920879364014,4.325997738930105,"Patrick Bailey",27478,672275
"Jackson Chourio","MIL",148,573,21,80,79,22,0.068062827,0.211169284,0.189393939,0.319587628,0.274621212,0.326923076,0.464015151,0.33854969905715593,0.3271342551687197,117.99710439718523,3.961943544447422,16.29351836365732,2.5449419021606445,3.9248874181284394,"Jackson Chourio",28806,694192
"Ezequiel Tovar","COL",157,695,26,83,78,6,0.033093525,0.287769784,0.2,0.344036697,0.26870229,0.294629898,0.46870229,0.3244099165637826,0.29165700797978816,94.34281409814777,0.06549384444952011,-4.636115483884898,16.88006591796875,3.665241780726904,"Ezequiel Tovar",24064,678662
"Masyn Winn","STL",150,637,15,85,57,11,0.064364207,0.171114599,0.148211244,0.303418803,0.267461669,0.313880126,0.415672913,0.315483457292614,0.2951017107282366,103.83917595298146,2.2220685482025146,5.14648173395639,8.508315086364746,3.61060340529296,"Masyn Winn",27479,691026
"Oneil Cruz","PIT",146,599,21,72,76,22,0.085141903,0.302170283,0.190388171,0.346938775,0.258780036,0.323873121,0.449168207,0.3310161504881952,0.3451237048132945,110.33786992820657,5.255894236266613,12.660793765288375,2.16947340965271,3.600741233576686,"Oneil Cruz",21711,665833
"Fernando Tatis Jr.","SDP",102,438,21,64,49,11,0.07305936,0.219178082,0.216080402,0.315602836,0.276381909,0.340182648,0.492462311,0.3587745542395605,0.39027537470278534,134.5378755115181,0.014994055032730103,18.104679481173026,-1.1142995357513428,3.2676960639722865,"Fernando Tatis Jr.",19709,665487
"Joey Ortiz","MIL",142,511,11,58,60,11,0.109589041,0.201565557,0.159090909,0.28313253,0.238636363,0.328740157,0.397727272,0.3187137223838821,0.30670558039849927,104.64613241625626,-0.15248367935419083,2.6865710699344074,11.201674938201904,3.199476080451675,"Joey Ortiz",25493,687401
"Luis García Jr.","WSN",140,528,18,58,70,22,0.051136363,0.162878787,0.162,0.309823677,0.282,0.318181818,0.444,0.3281335896412229,0.3348572649274554,110.26560092143444,0.539579913020134,7.021140482624782,4.621597647666931,3.0262876350407426,"Luis Garcia Jr.",20391,671277
"Mark Vientos","NYM",111,454,27,58,71,0,0.072687224,0.297356828,0.249394673,0.32421875,0.266343825,0.321585903,0.515738498,0.35599902613572615,0.3326000693618067,132.24036784261304,-1.9793795868754387,15.52380711954886,-2.708964228630066,2.8917243218659427,"Mark Vientos",22184,668901
"Jacob Young","WSN",150,521,3,75,36,33,0.057581573,0.195777351,0.074786325,0.320547945,0.256410256,0.31640625,0.331196581,0.2896075388416648,0.29149270245409387,84.33492792090736,4.2753764390945435,-5.484209782191474,14.065603256225586,2.6859390524067708,"Jacob Young",29931,696285
"Pete Crow-Armstrong","CHC",123,410,10,46,47,27,0.051219512,0.23902439,0.147849463,0.292134831,0.236559139,0.286069651,0.384408602,0.2894473162293434,0.28563318252563474,85.96601850130516,4.9249298721551895,-1.9556658446659254,13.558636546134949,2.6145772406925465,"Pete Crow-Armstrong",27769,691718
"Brice Turang","MIL",155,619,7,72,57,50,0.080775444,0.169628432,0.094812165,0.3,0.254025044,0.315960912,0.348837209,0.29423238577694916,0.30165485319544055,88.1685147784398,7.250577762722969,-1.5071451227636778,5.596446514129639,2.5605239797377486,"Brice Turang",22186,668930
"Gabriel Moreno","ARI",97,351,5,39,45,3,0.116809116,0.148148148,0.114754098,0.302788844,0.26557377,0.353276353,0.380327868,0.324803192785808,0.3282281389209124,107.03853636659439,0.07173491269350052,3.02600882670073,9.739699363708496,2.530860476362262,"Gabriel Moreno",22664,672515
"Otto Lopez","MIA",117,434,6,49,39,20,0.057603686,0.172811059,0.106699751,0.317901234,0.270471464,0.313225058,0.377171215,0.30242097917123073,0.3168405413351037,91.62366958166143,2.3678995445370674,-1.9792523416282588,11.686431646347046,2.5016865765000826,"Otto Lopez",19608,672640
"Heliot Ramos","SFG",121,518,22,54,72,6,0.071428571,0.26061776,0.2,0.329192546,0.269473684,0.322393822,0.469473684,0.3387795454540918,0.33786463737487793,119.75980864309486,-0.6150827929377556,11.624701908958029,-6.495704889297485,2.319020589084865,"Heliot Ramos",22515,671218
