Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Paul Goldschmidt","ARI",160,710,36,103,125,15,0.139436619,0.204225352,0.249169435,0.342723004,0.302325581,0.400564174,0.551495016,0.40380656710569407,,156.07882500742895,-0.8509272104129195,43.92966565320193,-9.538988828659058,6.017314923830135,"Paul Goldschmidt",9218,502671
"Freddie Freeman","ATL",147,629,23,89,109,1,0.104928457,0.192368839,0.181488204,0.371359223,0.319419237,0.395866454,0.500907441,0.3872000217822911,,149.98137729626356,1.5498211742378771,36.908127152538945,-9.520761489868164,4.998375406555347,"Freddie Freeman",5361,518692
"Starling Marte","PIT",135,566,12,83,35,41,0.044169611,0.243816254,0.160784314,0.362880886,0.280392156,0.342857142,0.44117647,0.3440307514428238,,122.40162918934968,8.541315213777125,22.80161383832094,-0.11295604705810547,4.286643614483784,"Starling Marte",9241,516782
"Brandon Belt","SFG",150,571,17,76,67,5,0.091068301,0.218914185,0.192534381,0.351351351,0.288801571,0.359649122,0.481335952,0.36476385814562284,,140.366878776644,2.5410962007008493,28.464609758069646,-6.9101245403289795,4.180447492793802,"Brandon Belt",10264,474832
"Bryce Harper","WSN",118,497,20,71,58,11,0.122736418,0.189134808,0.212264151,0.305732484,0.273584905,0.368421052,0.485849056,0.3705827079257187,,136.51525096479688,3.7072027348913252,24.118154829295413,-1.294203519821167,4.077240424916848,"Bryce Harper",11579,547180
"Jean Segura","MIL",146,623,12,74,49,44,0.04012841,0.13483146,0.1292517,0.325910931,0.294217687,0.328502415,0.423469387,0.32903845127551784,,104.56031449293594,4.843916009645909,8.039243865249894,10.125184059143066,3.9833241263351122,"Jean Segura",5933,516416
"Yasiel Puig","LAD",104,432,19,66,42,11,0.083333333,0.224537037,0.214659686,0.382899628,0.319371727,0.391203703,0.534031413,0.39794315054942747,,160.17148870204286,-3.195352748502046,26.03991584154467,-2.4586037397384644,3.9479723871003594,"Yasiel Puig",14225,624577
"Andrelton Simmons","ATL",157,658,17,76,59,6,0.060790273,0.083586626,0.148514851,0.247211895,0.247524752,0.295558958,0.396039603,0.30307226276105165,,91.39706513766924,-2.415374248288572,-8.781938305092527,21.798368453979492,3.5412491763319203,"Andrelton Simmons",10847,592743
"Justin Upton","ATL",149,643,27,94,70,8,0.116640746,0.250388802,0.200716846,0.320855614,0.26344086,0.353582554,0.464157706,0.35687598436603724,,128.86453198181508,3.93502812134102,24.809143414537356,-11.83515977859497,3.4879699977584266,"Justin Upton",5222,457708
"Jason Heyward","ATL",104,440,14,67,38,2,0.109090909,0.16590909,0.172774869,0.281355932,0.253926701,0.349315068,0.42670157,0.3443441535569983,,120.13770154466923,-0.737167005892843,9.228242765512688,6.152856826782227,3.0887702364263,"Jason Heyward",4940,518792
