Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Ryan Zimmerman","WSN",142,603,25,85,85,4,0.11442786,0.162520729,0.203809524,0.334152334,0.306666666,0.388059701,0.51047619,0.38968515565846634,,141.73570623814675,-0.8262878623791039,29.330650867343863,15.803544521331787,6.592895289401685,"Ryan Zimmerman",4220,475582
"Carlos González","COL",145,636,34,111,117,26,0.062893081,0.21226415,0.262350936,0.383529411,0.33560477,0.375786163,0.597955706,0.41308999080566844,,144.39447022825627,6.80454067979008,40.6381373705724,-4.742597937583923,5.7394280860339855,"Carlos Gonzalez",7287,471865
"Troy Tulowitzki","COL",122,529,27,89,95,11,0.09073724,0.147448015,0.253191489,0.327027027,0.314893617,0.380681818,0.568085106,0.40631290576385176,,139.8724875415867,-0.21915510902181268,25.055845670567578,12.104223728179932,5.531262504251437,"Troy Tulowitzki",3531,453064
"Jay Bruce","CIN",148,573,25,80,70,5,0.10122164,0.237347294,0.212180747,0.33427762,0.280943025,0.352530541,0.493123772,0.36533229032032927,,123.54816299952007,2.147250287234783,18.31590288778491,13.414119720458984,5.107656562831579,"Jay Bruce",9892,457803
"Jason Heyward","ATL",142,623,18,83,72,11,0.146067415,0.205457463,0.178846154,0.335106382,0.276923076,0.393258426,0.45576923,0.37721887312457564,,133.70793264439843,1.7973755947314203,26.96152984835204,-0.9679598808288574,4.671300712076075,"Jason Heyward",4940,518792
"Colby Rasmus","STL",144,534,23,85,66,12,0.117977528,0.277153558,0.221982759,0.353535353,0.275862068,0.360902255,0.497844827,0.36879606262903597,,130.36028796365215,6.681040624622256,26.108200674404724,-4.09493625164032,3.976288665295013,"Colby Rasmus",9893,458675
"Buster Posey","SFG",108,443,18,58,67,0,0.06772009,0.124153498,0.199507389,0.31547619,0.305418719,0.356659142,0.504926108,0.37143581670168874,,133.74464022125153,-1.242655006237328,16.67044303894158,7.427444815635681,3.903909861833082,"Buster Posey",9166,457763
"Andrew McCutchen","PIT",154,653,16,94,56,33,0.107197549,0.136294027,0.163157895,0.311440677,0.285964912,0.365030674,0.449122807,0.35863298379148023,,123.78883618450884,5.815866198856384,24.430245172583888,-11.25925874710083,3.4366419772214605,"Andrew McCutchen",9847,457705
"Jonathan Lucroy","MIL",75,297,4,24,26,4,0.06060606,0.148148148,0.075812274,0.286956521,0.252707581,0.299663299,0.328519855,0.28173192469654856,,69.53186958923155,-1.4355549332685769,-12.278928743481858,35.915568351745605,3.3930967121165434,"Jonathan Lucroy",7870,518960
"Drew Stubbs","CIN",150,583,22,91,77,30,0.094339622,0.288164665,0.188715953,0.33030303,0.254863813,0.329310344,0.443579766,0.3380262886776644,,105.32834342983651,8.247315573506057,11.969714704880257,2.709326982498169,3.371061831863922,"Drew Stubbs",9328,453211
"Ike Davis","NYM",147,601,19,73,71,3,0.119800332,0.229617304,0.175908222,0.320754716,0.263862332,0.35108153,0.439770554,0.34619889499760476,,115.75447093629485,-1.37117512896657,9.974764541385877,-0.45594215393066406,2.8929906577767905,"Ike Davis",8433,477195
"Giancarlo Stanton","FLA",100,396,22,45,59,5,0.085858585,0.31060606,0.247910864,0.330232558,0.259052924,0.325757575,0.506963788,0.35596039310479777,,117.84133588341342,0.1522050923667848,8.618331135074811,4.933685779571533,2.66118850734028,"Giancarlo Stanton",4949,519317
