Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Giancarlo Stanton","MIA",145,638,37,89,105,13,0.147335423,0.26645768,0.26716141,0.353293413,0.287569573,0.394984326,0.554730983,0.4030930542596388,,160.88182220813854,0.22344658034853637,43.824852644306866,-0.7222247123718262,6.847266429597825,"Giancarlo Stanton",4949,519317
"Anthony Rendon","WSN",153,683,21,111,83,17,0.084919472,0.152269399,0.185970636,0.314401622,0.287112561,0.350954478,0.473083197,0.36076156547037946,,130.0167709632931,6.824079127749428,29.837270479563244,7.874503135681152,6.405440976268073,"Anthony Rendon",12861,543685
"Yasiel Puig","LAD",148,640,16,92,69,11,0.1046875,0.19375,0.184587814,0.355608591,0.295698924,0.382445141,0.480286738,0.3794457883346738,,148.33074645678005,1.5856708695646375,36.30694472495734,-5.475412845611572,5.507914475090461,"Yasiel Puig",14225,624577
"Anthony Rizzo","CHC",140,616,32,89,78,5,0.118506493,0.188311688,0.240458016,0.310526315,0.286259541,0.386363636,0.526717557,0.39664290965288534,,155.45657811023938,-0.8492115917615592,37.49730812253895,-7.475576639175415,5.339361746451488,"Anthony Rizzo",3473,519203
"Jason Heyward","ATL",149,649,11,74,58,20,0.103235747,0.15100154,0.113438045,0.308351177,0.270506108,0.351309707,0.383944153,0.329288046334181,,109.42517694608394,3.394232477294281,10.260589521044317,12.63590669631958,4.667431422211185,"Jason Heyward",4940,518792
"Starling Marte","PIT",135,545,13,73,56,30,0.060550458,0.240366972,0.161616162,0.373219373,0.29090909,0.355963302,0.452525252,0.3584850411896312,,132.26745624011022,7.801848916802555,27.54213332560258,-3.022131562232971,4.50002697534724,"Starling Marte",9241,516782
"Marcell Ozuna","MIA",153,612,23,72,85,3,0.066993464,0.267973856,0.185840708,0.336814621,0.269026548,0.316993464,0.454867256,0.3376459553471954,,116.16442744557925,1.1988543511833996,12.303479982843795,9.805874824523926,4.458178614812126,"Marcell Ozuna",10324,542303
"Freddie Freeman","ATL",162,708,18,93,78,3,0.127118644,0.204802259,0.172981878,0.351230425,0.28830313,0.38559322,0.461285008,0.37395011125640437,,139.94098622144955,-3.777405054308474,27.965320584955876,-8.799079179763794,4.4542618010759885,"Freddie Freeman",5361,518692
"Christian Yelich","MIA",144,660,9,94,54,21,0.106060606,0.207575757,0.118556701,0.356164383,0.283505154,0.362252663,0.402061855,0.34073991804677045,,118.27840887052561,3.8441967866383493,17.385937588649476,-0.23790359497070312,4.073433854406225,"Christian Yelich",11477,592885
"Starlin Castro","CHC",134,569,14,58,65,4,0.061511423,0.175746924,0.145833334,0.336538461,0.291666666,0.339191564,0.4375,0.34091496815723654,,117.37989632332628,-4.739870261168107,6.36086182744088,5.631080269813538,3.205572276426109,"Starlin Castro",4579,516770
"Travis d'Arnaud","NYM",108,421,13,48,41,1,0.076009501,0.152019002,0.174025974,0.258899676,0.241558441,0.302380952,0.415584415,0.31318817483373435,,102.45211786621884,-2.9167130505666137,-1.7578940408518293,17.565185070037842,3.132421118548567,"Travis d'Arnaud",7739,518595
"Juan Lagares","NYM",116,452,4,46,47,13,0.044247787,0.192477876,0.100961538,0.341389728,0.28125,0.320712694,0.382211538,0.31038394942879677,,100.53610238929825,2.0694712065160275,2.341477123284009,10.197209239006042,2.8768741916345393,"Juan Lagares",5384,501571
"Corey Dickerson","COL",131,478,24,74,76,8,0.077405857,0.211297071,0.254587156,0.355555555,0.311926605,0.364016736,0.566513761,0.3987519802936053,,139.60245118321453,-1.957942345412448,19.291235793674552,-8.487174034118652,2.7729771473003706,"Corey Dickerson",10762,572816
"Yasmani Grandal","SDP",128,443,15,47,49,3,0.130925507,0.259593679,0.175066313,0.276679841,0.22546419,0.327313769,0.400530503,0.3243242061246035,,110.10980874634923,-3.1109725867863744,1.9163741490520838,9.928205251693726,2.770841109772712,"Yasmani Grandal",11368,518735
"Billy Hamilton","CIN",152,611,6,72,48,56,0.055646481,0.191489361,0.104795737,0.304054054,0.250444049,0.292358803,0.355239786,0.28746197597925055,,79.06580426929682,7.311047374503687,-7.046810966059262,13.229528546333313,2.7078906140632975,"Billy Hamilton",10199,571740
"Nolan Arenado","COL",111,467,18,58,61,2,0.05353319,0.124197002,0.212962963,0.293628808,0.287037037,0.32832618,0.5,0.3594738885920535,,112.76529626992999,-1.7465597069822252,4.945194071650384,4.752167582511902,2.6150434939139653,"Nolan Arenado",9777,571448
"Ender Inciarte","ARI",118,447,4,54,27,19,0.055928411,0.118568232,0.081339713,0.310249307,0.277511961,0.318284424,0.358851674,0.3028280615268389,,86.16991468774363,-0.7723195494618267,-7.711761636158174,11.864957466721535,1.9404740353263126,"Ender Inciarte",4922,542255
