Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Cody Bellinger","LAD",156,660,47,121,115,15,0.143939393,0.163636363,0.32437276,0.302211302,0.304659498,0.406060606,0.629032258,0.4149256520241452,0.42969840943343995,160.62181817164873,1.4569907514378428,54.24539778210559,4.597327709197998,7.762605399745009,"Cody Bellinger",15998,641355
"Ketel Marte","ARI",144,628,32,97,92,10,0.084394904,0.136942675,0.263620387,0.342163355,0.328646748,0.388535031,0.592267135,0.40473624273610953,0.3750142578125,149.85578505795033,3.8310363786295056,45.13967348913147,0.1030721664428711,6.342404934566485,"Ketel Marte",13613,606466
"Juan Soto","WSN",150,659,34,110,110,12,0.163884673,0.20030349,0.265682657,0.311518324,0.282287822,0.40060698,0.547970479,0.39400750825681335,0.4086559033575859,142.56490607654976,0.33174910955131054,37.34035772649338,-2.492885112762451,5.428898738067295,"Juan Soto",20123,665742
"Ronald Acuña Jr.","ATL",156,715,41,127,101,37,0.106293706,0.262937062,0.238019169,0.336683417,0.279552715,0.365168539,0.517571884,0.36889346095465,0.3907994293256056,125.46324954488173,6.434727936051786,30.45542087563202,-1.709710270166397,5.009962486320539,"Ronald Acuna Jr.",18401,660670
"Pete Alonso","NYM",161,693,53,103,120,1,0.103896103,0.264069264,0.323283082,0.28021978,0.25963149,0.357864357,0.582914572,0.3841176861585314,0.38001025247434017,143.90904982962908,0.6052493127062917,40.752234472108306,-14.367652416229248,4.71238659217676,"Pete Alonso",19251,624413
"Ozzie Albies","ATL",160,702,24,102,86,15,0.076923076,0.159544159,0.2046875,0.324803149,0.2953125,0.351851851,0.5,0.3537985326229841,0.34588923831637813,115.5734854643437,5.696007004007697,20.120102783618567,0.8282907009124756,4.212300230700471,"Ozzie Albies",16556,645277
"Bryan Reynolds","PIT",134,546,16,83,68,3,0.084249084,0.221611721,0.189409368,0.386554621,0.313645621,0.377289377,0.503054989,0.3710365610899943,0.36126791387518914,130.01199526304546,-0.8046241952106357,20.815250647819685,-0.18004989624023438,3.697962714495868,"Bryan Reynolds",19326,668804
"Victor Robles","WSN",155,617,17,86,65,28,0.056726094,0.226904376,0.164835165,0.30964467,0.254578754,0.325695581,0.419413919,0.31671895704379205,0.2936785363203642,91.92766416133715,4.155228047631681,-2.4160531131871883,19.898737907409668,3.6120106183083713,"Victor Robles",18363,645302
"Tommy Edman","STL",92,349,11,59,36,15,0.045845272,0.1747851,0.196319019,0.346456692,0.303680981,0.3495702,0.5,0.3566056881046568,0.32973132639013253,123.68685451513603,6.122462115250528,17.029290586178277,8.614811956882477,3.5733646703759705,"Tommy Edman",19470,669242
"Corey Seager","LAD",134,541,19,82,87,1,0.081330868,0.181146025,0.210633946,0.303191489,0.27198364,0.334565619,0.482617586,0.3403257728730879,0.3276367474319343,111.74611707322666,2.978285463526845,11.362400987858047,8.068978548049927,3.5655280970133036,"Corey Seager",13624,608369
"Paul DeJong","STL",159,664,30,97,78,9,0.093373493,0.22439759,0.210977702,0.258536585,0.233276157,0.317771084,0.444253859,0.3216295597420199,0.3316382836054149,100.77149841957517,-0.04899003729224205,0.6268886994440672,13.042012214660645,3.3873821702974602,"Paul DeJong",18015,657557
"Fernando Tatis Jr.","SDP",84,372,22,61,53,16,0.080645161,0.295698924,0.27245509,0.409756097,0.317365269,0.379032258,0.589820359,0.39838170876721485,0.34691252837309966,150.71388307778363,2.2586061833426356,27.14921207873272,-8.476072311401367,2.967637684573985,"Fernando Tatis Jr.",19709,665487
"Carson Kelly","ARI",111,365,18,46,47,0,0.131506849,0.216438356,0.232484077,0.270642201,0.245222929,0.347945205,0.477707006,0.33938643160000653,0.339945324396683,107.04046320657123,-0.8140125721693039,2.5764562980687566,9.368954181671143,2.292474298977908,"Carson Kelly",13620,608348
"Keston Hiura","MIL",84,348,19,51,49,9,0.07183908,0.307471264,0.267515924,0.402116402,0.30254777,0.367816091,0.570063694,0.3877903729763086,0.35492667466580513,138.861682248502,-1.213327837176621,16.62961581421246,-4.741423606872559,2.2341821839865075,"Keston Hiura",20003,669374
"Kevin Newman","PIT",130,531,12,61,64,16,0.052730696,0.116760828,0.137931034,0.333333333,0.30831643,0.353497164,0.446247464,0.33946718583749413,0.30308248079740086,109.328646090579,0.37338152807205915,6.908881269495321,-1.5156478881835938,2.1710143486160103,"Kevin Newman",17696,621028
"Alex Verdugo","LAD",106,377,12,43,44,4,0.068965517,0.129973474,0.180758017,0.309027777,0.294460641,0.342175066,0.475218658,0.3412748491193386,0.33909111331415304,112.36792460775942,0.9069271348416805,7.058750298008231,3.205779194831848,2.1664385788761136,"Alex Verdugo",17027,657077
"Scott Kingery","PHI",126,500,19,64,55,15,0.068,0.294,0.216157205,0.336734693,0.257641921,0.314629258,0.473799126,0.3288266503188505,0.3158932115179468,100.20860111477161,4.180056008510292,4.31766673666424,1.2571264505386353,2.092485686324445,"Scott Kingery",17975,664068
