Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Miguel Cabrera","FLA",158,676,26,112,114,9,0.127218934,0.159763313,0.229166667,0.378923766,0.338541666,0.430473372,0.567708333,0.41545409101918224,,153.13392958288054,-2.70170701877214,44.262143447893884,-1.7970995903015137,6.280126403745582,"Miguel Cabrera",1744,408234
"José Reyes","NYM",153,703,19,122,81,64,0.07539118,0.115220483,0.187017002,0.319926873,0.29984544,0.353780313,0.486862442,0.35830902684506755,,115.9209311606096,8.98715284653008,23.62134840750754,11.981339931488037,5.705237702722309,"Jose Reyes",1736,408314
"David Wright","NYM",154,661,26,96,116,20,0.099848714,0.170953101,0.219931272,0.343680709,0.310996563,0.381240544,0.530927835,0.3822958313940484,,131.59420271918012,3.8630717238411307,31.168810090821932,-4.671721935272217,4.691090484460997,"David Wright",3787,431151
"Hanley Ramirez","FLA",158,700,17,119,59,51,0.08,0.182857142,0.187993681,0.342857142,0.292259083,0.352517985,0.480252764,0.358357722724942,,115.82646399460539,9.971786545705982,24.45707002595605,-2.630279064178467,4.366445381882473,"Hanley Ramirez",8001,434670
"Brian McCann","ATL",130,492,24,61,93,2,0.083333333,0.109756097,0.239819005,0.332432432,0.332579185,0.388211382,0.57239819,0.4013137211484357,,141.7456454436858,-6.981145027210005,19.87361944411805,7.713391304016113,4.250476153731711,"Brian McCann",4810,435263
"Ryan Zimmerman","WSN",157,682,20,84,110,11,0.089442815,0.175953079,0.184039088,0.326359832,0.286644951,0.350954478,0.470684039,0.35076495730912294,,112.30577616715236,-0.04431486804969609,10.929015406696829,6.144420623779297,3.849710395335845,"Ryan Zimmerman",4220,475582
"Willy Taveras","HOU",149,587,1,83,30,33,0.057921635,0.149914821,0.060491494,0.330316742,0.277882797,0.333333333,0.338374291,0.30218796452714336,,77.45104940826387,9.209745877073146,-8.096764257550433,22.32527756690979,3.2684370466127786,"Willy Taveras",1876,430838
"Adrián González","SDP",156,631,24,83,82,0,0.082408874,0.179080824,0.196491229,0.340182648,0.303508771,0.361904761,0.5,0.3647681704081967,,125.52915974118817,-6.564763156231493,14.497786632846065,-5.29472017288208,2.925674019417321,"Adrian Gonzalez",1908,408236
"Matt Murton","CHC",144,508,13,70,62,5,0.088582677,0.122047244,0.147252747,0.319371727,0.296703296,0.364891518,0.443956043,0.3532160187191643,,106.57900112255321,-1.4889651064295322,2.8809071102442516,9.5430908203125,2.8392131939920784,"Matt Murton",6307,444875
"Shane Victorino","PHI",153,462,6,70,46,4,0.051948051,0.116883116,0.127710844,0.31741573,0.286746987,0.345814977,0.414457831,0.3341062838285505,,95.27061216649503,2.9042223901487887,0.0473425781697534,12.456440508365631,2.6983579810564597,"Shane Victorino",1677,425664
"Russell Martin","LAD",121,468,10,65,65,10,0.096153846,0.121794871,0.154216868,0.304843304,0.28192771,0.355460385,0.436144578,0.33953918974383984,,103.19691094036227,-1.3644701687153429,0.5917667721529085,8.593964576721191,2.39760749010269,"Russell Martin",4616,431145
"Chris Duncan","STL",90,314,22,60,43,0,0.095541401,0.219745222,0.296428572,0.314136125,0.292857142,0.363057324,0.589285714,0.3990763068958453,,142.69537597743758,2.8869653802830726,20.415901372330737,-6.742269277572632,2.3332726187442905,"Chris Duncan",2722,408219
"Josh Barfield","SDP",150,578,13,72,58,21,0.051903114,0.140138408,0.142857142,0.306666666,0.280148423,0.317708333,0.423005565,0.315268800841065,,93.18566606659363,5.521038293838501,0.37116771002793314,3.733286499977112,2.2625990755874783,"Josh Barfield",3622,429662
"Andre Ethier","LAD",126,441,11,50,55,5,0.077097505,0.174603174,0.169191919,0.353503184,0.308080808,0.365079365,0.477272727,0.360975646483871,,117.20375403836604,0.43118228332605213,10.351072802191059,-2.768519878387451,2.1557380913608784,"Andre Ethier",6265,444843
"Edwin Encarnación","CIN",117,467,15,60,72,6,0.087794432,0.167023554,0.197044335,0.306962025,0.275862068,0.358531317,0.472906403,0.35783712306748267,,111.13361974649925,2.7187141093891114,9.51698286987417,-5.229891896247864,1.9217552967819758,"Edwin Encarnacion",2151,429665
"Ronny Paulino","PIT",129,481,6,37,55,0,0.07068607,0.164241164,0.083710407,0.364902506,0.309954751,0.360416666,0.393665158,0.33063556031176916,,97.14811030847437,-5.7072301361477,-7.500818858606658,10.976337432861328,1.8886662244417218,"Ronny Paulino",2129,425661
"Brandon Phillips","CIN",149,587,17,65,75,25,0.059625212,0.149914821,0.151119403,0.299771167,0.276119402,0.324185248,0.427238805,0.3234935476862151,,88.69310741632665,4.119729828555137,-4.558405781097495,-1.0851566791534424,1.3511712306607717,"Brandon Phillips",791,408252
