Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Javier Báez","CHC",160,645,34,101,111,21,0.04496124,0.258914728,0.264026403,0.347188264,0.290429042,0.326086956,0.554455445,0.3663847768831553,0.33951516280714217,131.18705142022094,4.18701614649035,28.74674991938172,8.244454860687256,5.840763248839091,"Javier Baez",12979,595879
"Trea Turner","WSN",162,740,19,103,73,43,0.093243243,0.178378378,0.144578313,0.313840155,0.271084337,0.344173441,0.41566265,0.331185566324766,0.3352992508437607,105.10507714254402,8.871335594216362,13.483700431394743,13.756929397583008,5.136466403137279,"Trea Turner",16252,607208
"Brandon Nimmo","NYM",140,535,17,77,47,9,0.14953271,0.261682242,0.219399538,0.351449275,0.263279445,0.403738317,0.482678983,0.38527630048665945,0.34933118891895265,148.04332582485551,2.783569730585441,34.16526998277038,-0.8277959823608398,5.117952334690559,"Brandon Nimmo",12927,607043
"Trevor Story","COL",157,656,37,88,108,27,0.071646341,0.25609756,0.275919733,0.345088161,0.290969899,0.347560975,0.566889632,0.3838505776881441,0.3586979059752946,128.23131676134938,2.9324489952996373,25.543700365569293,0.19436073303222656,4.71704159014712,"Trevor Story",12564,596115
"Ronald Acuña Jr.","ATL",111,487,26,78,64,16,0.092402464,0.252566735,0.258660508,0.351916376,0.29330254,0.36550308,0.551963048,0.38754880256259566,0.3749893660397874,142.39255773471092,2.1570611614733934,27.36330918579712,0.31115055084228516,4.383718756009428,"Ronald Acuna Jr.",18401,660670
"Ozzie Albies","ATL",158,684,24,105,72,14,0.052631578,0.169590643,0.190923318,0.284860557,0.261345852,0.304538799,0.45226917,0.32377752954055766,0.30084086939231636,99.78261254827126,7.086421159328893,6.9048778711965175,10.70897626876831,3.9689913226453024,"Ozzie Albies",16556,645277
"Harrison Bader","STL",138,427,12,61,37,15,0.072599531,0.292740046,0.158311346,0.357723577,0.263852242,0.334117647,0.422163588,0.32642111168088506,0.28547059203223357,106.89521984382128,4.448366155615076,8.043090694945406,14.63845705986023,3.6806434613910426,"Harrison Bader",18030,664056
"Cody Bellinger","LAD",162,632,25,84,76,14,0.109177215,0.23892405,0.21005386,0.3125,0.260323159,0.34335443,0.470377019,0.34515976379618024,0.3277168398997823,120.39223231099552,3.3272406114265323,19.0624117992536,-4.1362868547439575,3.5284244961448503,"Cody Bellinger",15998,641355
"Michael Conforto","NYM",153,638,28,78,82,3,0.131661442,0.2492163,0.20441989,0.288888888,0.243093922,0.34952978,0.447513812,0.34233680055254984,0.34091468823203247,119.35251173536332,-2.639840834075585,12.434823203668035,1.513291835784912,3.446659586517043,"Michael Conforto",16376,624424
"Bryce Harper","WSN",159,695,34,103,100,13,0.187050359,0.243165467,0.247272727,0.289325842,0.249090909,0.392805755,0.496363636,0.37565619701489433,0.39141872749723045,134.81894431684267,-0.7131503217387944,28.832260144440653,-19.04490637779236,3.1980061539064186,"Bryce Harper",11579,547180
"Johan Camargo","ATL",134,524,19,63,76,1,0.097328244,0.20610687,0.185344827,0.314705882,0.271551724,0.349236641,0.456896551,0.346254375576973,0.306464147383642,114.80092929482146,-0.5745557742193341,8.894570209569888,5.821120262145996,3.1663679244229725,"Johan Camargo",14950,622666
"José Peraza","CIN",157,683,14,85,58,23,0.042459736,0.109809663,0.128164557,0.306569343,0.287974683,0.325925925,0.41613924,0.3190871818232643,0.3044936577237486,96.34732824212774,1.801457146415487,-1.2444802584622225,10.363932371139526,3.0914311609826965,"Jose Peraza",13593,606299
"Brian Anderson","MIA",156,670,11,87,65,2,0.092537313,0.192537313,0.127118645,0.331858407,0.272881355,0.356716417,0.4,0.3330261275439919,0.3336021045873548,113.20511352699667,0.1128195384517312,10.91487905406739,-2.2348709106445312,3.0052216556305877,"Brian Anderson",18289,605119
"Ketel Marte","ARI",153,580,14,68,59,6,0.093103448,0.136206896,0.176923077,0.282051282,0.259615384,0.331606217,0.436538461,0.33008205704391,0.3203360406100022,104.90759578057495,0.47769618942402303,3.9529489880300757,7.3129637241363525,2.9877508822951464,"Ketel Marte",13613,606466
"Jorge Alfaro","PHI",108,377,10,35,37,3,0.047745358,0.366047745,0.145348838,0.40609137,0.261627906,0.323607427,0.406976744,0.31350102675250274,0.29931742212046747,95.07031902592546,0.6301760021597147,-1.6389038974071712,17.5854150056839,2.82975297485345,"Jorge Alfaro",12180,595751
"Austin Hedges","SDP",91,326,14,29,37,3,0.064417177,0.276073619,0.198019802,0.28,0.231023102,0.282208588,0.429042904,0.30143304284512074,0.26027861885402515,89.83468872229489,0.5802200373727828,-3.4657988502149006,20.24476683139801,2.754703672415551,"Austin Hedges",12976,595978
"Manny Machado","LAD",66,296,13,36,42,6,0.084459459,0.179054054,0.213483146,0.295566502,0.273408239,0.337837837,0.486891385,0.3457236957961115,0.34929799047009696,120.76903381529742,1.3809372035320848,8.886748269423961,8.564047574996948,2.7293071566420535,"Manny Machado",11493,592518
"Addison Russell","CHC",130,465,5,52,38,4,0.086021505,0.212903225,0.09047619,0.314465408,0.25,0.316810344,0.34047619,0.2904134862350695,0.28394479462594696,80.42544079439374,2.521800907794386,-8.591282342720447,16.903306484222412,2.321222273146678,"Addison Russell",14106,608365
"Kyle Schwarber","CHC",137,510,26,64,61,4,0.152941176,0.274509803,0.228971962,0.287878787,0.238317757,0.355599214,0.467289719,0.3427470896873006,0.3496137928424185,115.39309737132642,-1.554004845675081,8.030856096030142,-1.8207306861877441,2.246685225330901,"Kyle Schwarber",16478,656941
"Albert Almora Jr.","CHC",152,479,5,62,41,1,0.050104384,0.173277661,0.092342342,0.337016574,0.286036036,0.322851153,0.378378378,0.3046243068049936,0.2753383830442267,89.92066108472002,-0.3866555530112237,-6.2812941804401206,12.073621153831482,2.1059714673226795,"Albert Almora Jr.",14109,546991
"Rhys Hoskins","PHI",153,660,34,89,96,5,0.131818181,0.227272727,0.250896057,0.27176781,0.245519713,0.353566009,0.49641577,0.36332678958161235,0.3477428722527637,128.36231591435538,-2.121989540522918,20.73269596158113,-22.590117931365967,1.8889872628612092,"Rhys Hoskins",16472,656555
"Dansby Swanson","ATL",136,533,14,51,59,10,0.082551594,0.228893058,0.156903766,0.289855072,0.238493723,0.303605313,0.395397489,0.2925973411183804,0.28241514318129596,78.94899802856892,3.676514631602913,-10.022508680755754,9.76689887046814,1.653597978910973,"Dansby Swanson",18314,621020
"Josh Bell","PIT",148,583,12,74,62,2,0.132075471,0.17838765,0.149700599,0.305128205,0.261477045,0.3567753,0.411177644,0.33553139775632373,0.3361725856688608,110.84344264480215,-1.416262008016929,6.302103929985796,-9.388647258281708,1.5197735606878437,"Josh Bell",13145,605137
"Maikel Franco","PHI",131,465,22,48,68,1,0.062365591,0.133333333,0.19630485,0.269886363,0.270207852,0.313978494,0.466512702,0.3282831028819605,0.30368498079069367,104.94723419116461,-1.5622069917153567,1.2464910151577389,-1.8282634019851685,1.4057004963987132,"Maikel Franco",12179,596748
"Paul DeJong","STL",115,490,19,68,68,1,0.073469387,0.251020408,0.19266055,0.287625418,0.240825688,0.312883435,0.433486238,0.32074703572956687,0.3261854383680556,103.1039819742901,-1.1469541587866843,0.7100158699505918,-2.8883438110351562,1.3201471214980427,"Paul DeJong",18015,657557
"Jesse Winker","CIN",89,334,7,38,43,0,0.146706586,0.13772455,0.131672598,0.336244541,0.298932384,0.405405405,0.430604982,0.36563146947727376,0.3657437245780175,127.44674733313218,-2.073684717528522,9.11881198078182,-7.834198951721191,1.1849390090605807,"Jesse Winker",13590,608385
"Franmil Reyes","SDP",87,285,16,36,31,0,0.084210526,0.280701754,0.218390805,0.345454545,0.279693486,0.340350877,0.498084291,0.35959619220934413,0.3272807161572953,128.6974632732091,-1.3582222629338503,8.627465737618977,-6.61758279800415,1.1051595520075703,"Franmil Reyes",14566,614177
"Manuel Margot","SDP",141,519,8,50,51,11,0.061657032,0.16955684,0.13836478,0.280927835,0.245283018,0.291505791,0.383647798,0.2879644246184872,0.2947408626852168,80.83538453441062,-0.11797742010094225,-12.2618469117105,6.342334508895874,1.026434213051431,"Manuel Margot",14712,622534
